TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
houston rockets,2024-25,1,1610612745.0,4.0,3.0,1.0,0.75,49.3,43.8,93.5,0.468,13.3,40.3,0.329,19.8,28.8,0.687,13.8,38.5,52.3,26.3,17.8,8.8,4.8,4.0,21.8,23.3,120.5,10.5,21.0,8.0,2.0,7.0,1.0,5.0,5.0,7.0,14.0,14.0,20.0,7.0,3.0,31.0,4.0,2.0,1.0,17.0,19.0,24.0,20.0,6.0,21.0,4.0,5.0,5.0,Pre Season,1610612745.0,4.0,3.0,1.0,0.75,197.0,109.4,112.9,101.8,103.3,7.6,9.6,0.6,1.48,17.3,0.359,0.73,0.549,0.166,0.539,0.568,106.3,103.92,86.6,427.0,0.548,21.0,8.0,2.0,7.0,21.0,4.0,10.0,5.0,27.0,15.0,22.0,2.0,9.0,2.0,15.0,8.0,10.0,10.0,7.0,Pre Season
indiana pacers,2024-25,1,1610612754.0,4.0,2.0,2.0,0.5,49.3,46.3,91.3,0.507,13.5,37.0,0.365,18.0,25.3,0.713,12.0,33.0,45.0,29.5,17.0,11.3,5.3,3.3,19.5,22.5,124.0,3.0,21.0,16.0,10.0,15.0,1.0,1.0,13.0,1.0,11.0,22.0,6.0,12.0,10.0,27.0,9.0,23.0,21.0,8.0,13.0,5.0,18.0,3.0,8.0,7.0,1.0,10.0,Pre Season,1610612754.0,4.0,2.0,2.0,0.5,197.0,115.5,115.1,110.6,111.3,4.9,3.8,0.638,1.74,19.6,0.276,0.695,0.489,0.158,0.581,0.606,105.6,105.5,87.92,431.0,0.52,21.0,16.0,10.0,15.0,21.0,2.0,25.0,9.0,20.0,12.0,8.0,19.0,22.0,19.0,12.0,1.0,1.0,5.0,11.0,Pre Season
la clippers,2024-25,1,1610612746.0,5.0,4.0,1.0,0.8,48.0,38.8,81.8,0.474,9.2,30.6,0.301,19.0,25.8,0.736,9.4,34.4,43.8,24.4,19.0,13.6,7.0,5.2,19.0,21.0,105.8,9.2,5.0,2.0,2.0,2.0,9.0,21.0,31.0,4.0,32.0,32.0,26.0,9.0,9.0,15.0,25.0,18.0,25.0,23.0,24.0,2.0,3.0,15.0,6.0,17.0,22.0,6.0,Pre Season,1610612746.0,5.0,4.0,1.0,0.8,240.0,103.0,103.3,91.0,94.2,12.0,9.2,0.629,1.28,17.7,0.251,0.657,0.474,0.186,0.531,0.568,104.5,102.5,85.42,512.0,0.592,5.0,2.0,2.0,2.0,9.0,22.0,2.0,6.0,23.0,26.0,21.0,26.0,30.0,28.0,25.0,12.0,9.0,20.0,2.0,Pre Season
los angeles lakers,2024-25,1,1610612747.0,6.0,2.0,4.0,0.333,48.8,38.7,92.8,0.417,11.5,38.5,0.299,15.7,20.3,0.77,12.0,35.7,47.7,24.5,17.3,8.2,6.7,6.3,16.8,19.2,104.5,-13.7,1.0,16.0,29.0,21.0,8.0,23.0,6.0,29.0,23.0,18.0,27.0,21.0,24.0,10.0,9.0,11.0,8.0,22.0,15.0,28.0,6.0,28.0,1.0,25.0,26.0,29.0,Pre Season,1610612747.0,6.0,2.0,4.0,0.333,293.0,97.6,99.8,108.8,112.5,-11.2,-12.7,0.634,1.41,16.9,0.279,0.731,0.493,0.166,0.478,0.513,106.0,103.04,85.87,628.0,0.432,1.0,16.0,29.0,21.0,1.0,27.0,28.0,29.0,22.0,22.0,23.0,16.0,8.0,16.0,13.0,30.0,29.0,18.0,28.0,Pre Season
memphis grizzlies,2024-25,1,1610612763.0,5.0,3.0,2.0,0.6,48.0,39.0,87.4,0.446,15.0,41.6,0.361,20.6,28.0,0.736,15.0,34.4,49.4,29.8,21.0,9.6,5.2,4.0,24.2,21.2,113.6,-3.6,5.0,8.0,10.0,10.0,9.0,19.0,21.0,17.0,9.0,9.0,7.0,4.0,4.0,16.0,1.0,18.0,4.0,4.0,29.0,14.0,19.0,6.0,30.0,15.0,9.0,22.0,Pre Season,1610612763.0,5.0,3.0,2.0,0.6,240.0,107.5,107.6,108.8,111.6,-1.3,-4.0,0.764,1.42,19.5,0.337,0.724,0.529,0.199,0.532,0.57,106.7,105.3,87.75,528.0,0.487,5.0,8.0,10.0,10.0,9.0,15.0,27.0,22.0,1.0,21.0,10.0,4.0,13.0,6.0,29.0,11.0,8.0,6.0,20.0,Pre Season
miami heat,2024-25,1,1610612748.0,5.0,4.0,1.0,0.8,48.0,41.0,90.2,0.455,13.4,41.0,0.327,17.2,23.6,0.729,9.8,33.0,42.8,29.8,16.0,15.2,4.4,5.4,22.4,21.6,112.6,3.2,5.0,2.0,2.0,2.0,9.0,9.0,16.0,11.0,13.0,12.0,21.0,16.0,16.0,22.0,22.0,23.0,27.0,4.0,8.0,1.0,22.0,18.0,24.0,11.0,13.0,9.0,Pre Season,1610612748.0,5.0,4.0,1.0,0.8,240.0,105.4,108.1,102.3,105.0,3.1,3.1,0.727,1.86,20.1,0.272,0.692,0.476,0.154,0.529,0.56,106.9,104.2,86.83,521.0,0.533,5.0,2.0,2.0,2.0,9.0,13.0,13.0,10.0,7.0,4.0,6.0,20.0,23.0,27.0,9.0,14.0,15.0,9.0,9.0,Pre Season
milwaukee bucks,2024-25,1,1610612749.0,4.0,1.0,3.0,0.25,48.0,35.5,88.3,0.402,13.5,36.5,0.37,11.5,15.5,0.742,9.3,37.3,46.5,26.0,18.0,9.0,7.3,8.0,20.0,16.0,96.0,-14.8,21.0,22.0,19.0,24.0,9.0,30.0,17.0,31.0,11.0,25.0,4.0,31.0,31.0,14.0,27.0,7.0,13.0,18.0,22.0,17.0,2.0,31.0,11.0,32.0,31.0,31.0,Pre Season,1610612749.0,4.0,1.0,3.0,0.25,192.0,92.5,94.1,105.4,109.7,-12.9,-15.5,0.732,1.44,18.5,0.245,0.7,0.473,0.176,0.479,0.505,104.4,101.5,84.58,408.0,0.43,21.0,22.0,19.0,24.0,24.0,31.0,21.0,31.0,4.0,18.0,15.0,29.0,20.0,29.0,19.0,29.0,30.0,25.0,29.0,Pre Season
minnesota timberwolves,2024-25,1,1610612750.0,5.0,2.0,3.0,0.4,48.0,43.8,95.0,0.461,16.0,44.4,0.36,17.2,24.0,0.717,11.8,35.2,47.0,27.0,15.4,8.4,3.8,6.0,24.8,21.2,120.8,2.8,5.0,16.0,19.0,17.0,9.0,3.0,2.0,9.0,6.0,6.0,8.0,16.0,15.0,26.0,11.0,15.0,11.0,16.0,4.0,25.0,25.0,21.0,31.0,15.0,4.0,13.0,Pre Season,1610612750.0,5.0,2.0,3.0,0.4,240.0,110.7,113.7,110.9,110.9,-0.2,2.8,0.616,1.75,18.2,0.276,0.786,0.511,0.145,0.545,0.572,107.8,106.3,88.58,531.0,0.483,5.0,16.0,19.0,17.0,9.0,3.0,24.0,11.0,25.0,11.0,16.0,18.0,2.0,10.0,5.0,6.0,7.0,3.0,22.0,Pre Season
new orleans pelicans,2024-25,1,1610612740.0,3.0,1.0,2.0,0.333,48.0,37.0,87.3,0.424,10.0,38.0,0.263,17.0,22.0,0.773,11.0,34.0,45.0,23.0,17.7,9.0,7.0,3.0,20.7,17.7,101.0,-6.7,29.0,22.0,10.0,21.0,9.0,27.0,23.0,27.0,29.0,19.0,30.0,18.0,19.0,8.0,15.0,22.0,21.0,27.0,18.0,17.0,3.0,2.0,15.0,30.0,29.0,23.0,Pre Season,1610612740.0,3.0,1.0,2.0,0.333,144.0,97.4,97.7,100.8,103.9,-3.4,-6.1,0.622,1.3,16.5,0.241,0.667,0.456,0.171,0.481,0.521,105.2,103.5,86.25,310.0,0.463,29.0,22.0,10.0,21.0,29.0,30.0,11.0,24.0,24.0,24.0,26.0,31.0,28.0,30.0,16.0,28.0,28.0,15.0,24.0,Pre Season
new york knicks,2024-25,1,1610612752.0,5.0,4.0,1.0,0.8,48.0,39.6,91.6,0.432,12.4,41.0,0.302,22.6,27.6,0.819,10.8,36.0,46.8,23.4,12.6,8.8,4.2,5.0,17.8,24.6,114.2,7.0,5.0,2.0,2.0,2.0,9.0,16.0,11.0,25.0,18.0,12.0,25.0,2.0,6.0,2.0,16.0,10.0,12.0,25.0,2.0,23.0,24.0,11.0,4.0,2.0,7.0,8.0,Pre Season,1610612752.0,5.0,4.0,1.0,0.8,240.0,108.2,109.2,100.7,102.5,7.5,6.7,0.591,1.86,16.5,0.26,0.76,0.505,0.12,0.5,0.55,106.0,104.6,87.17,523.0,0.551,5.0,2.0,2.0,2.0,9.0,9.0,8.0,8.0,28.0,5.0,28.0,23.0,3.0,13.0,1.0,26.0,22.0,7.0,6.0,Pre Season
oklahoma city thunder,2024-25,1,1610612760.0,5.0,4.0,1.0,0.8,49.0,44.0,92.0,0.478,14.6,41.6,0.351,11.4,17.2,0.663,9.8,37.4,47.2,28.0,13.4,11.2,6.4,3.4,19.8,18.4,114.0,11.8,5.0,2.0,2.0,2.0,4.0,2.0,9.0,2.0,10.0,9.0,11.0,32.0,29.0,32.0,22.0,5.0,10.0,14.0,3.0,6.0,7.0,4.0,10.0,27.0,8.0,4.0,Pre Season,1610612760.0,5.0,4.0,1.0,0.8,245.0,110.5,111.5,97.0,100.6,13.5,11.0,0.636,2.09,19.6,0.265,0.687,0.487,0.131,0.558,0.572,102.1,99.82,83.18,511.0,0.583,5.0,2.0,2.0,2.0,5.0,6.0,5.0,4.0,21.0,2.0,9.0,21.0,25.0,20.0,3.0,3.0,6.0,29.0,4.0,Pre Season
orlando magic,2024-25,1,1610612753.0,3.0,1.0,2.0,0.333,48.0,37.0,82.7,0.448,11.0,37.0,0.297,20.0,26.3,0.759,9.0,36.7,45.7,24.7,20.0,9.7,5.3,5.0,21.0,20.3,105.0,1.0,29.0,22.0,10.0,21.0,9.0,27.0,28.0,16.0,25.0,22.0,28.0,6.0,8.0,12.0,28.0,8.0,16.0,21.0,26.0,13.0,17.0,11.0,18.0,19.0,25.0,15.0,Pre Season,1610612753.0,3.0,1.0,2.0,0.333,144.0,99.8,102.6,101.2,101.0,-1.4,1.6,0.667,1.23,17.7,0.261,0.706,0.497,0.195,0.514,0.557,104.0,102.67,85.56,307.0,0.514,29.0,22.0,10.0,21.0,29.0,25.0,6.0,15.0,15.0,27.0,20.0,22.0,18.0,15.0,28.0,22.0,16.0,19.0,12.0,Pre Season
philadelphia 76ers,2024-25,1,1610612755.0,6.0,3.0,3.0,0.5,48.0,39.0,88.2,0.442,13.2,39.2,0.336,18.7,24.2,0.772,13.2,34.5,47.7,21.5,15.8,10.3,3.3,6.2,21.0,20.3,109.8,2.8,1.0,8.0,19.0,15.0,9.0,19.0,18.0,22.0,15.0,16.0,15.0,10.0,14.0,9.0,8.0,16.0,8.0,31.0,7.0,9.0,28.0,25.0,18.0,19.0,18.0,12.0,Pre Season,1610612755.0,6.0,3.0,3.0,0.5,288.0,108.2,108.4,104.9,105.9,3.4,2.4,0.551,1.36,15.5,0.304,0.729,0.514,0.156,0.517,0.556,101.7,101.17,84.31,608.0,0.496,1.0,8.0,19.0,15.0,2.0,11.0,14.0,13.0,32.0,23.0,31.0,11.0,10.0,9.0,10.0,20.0,18.0,26.0,15.0,Pre Season
phoenix suns,2024-25,1,1610612756.0,5.0,3.0,2.0,0.6,49.0,41.0,92.6,0.443,15.6,44.0,0.355,13.2,17.2,0.767,7.4,38.0,45.4,29.8,15.6,9.0,6.4,4.6,18.0,18.8,110.8,-1.6,5.0,8.0,10.0,10.0,4.0,9.0,8.0,21.0,7.0,7.0,10.0,29.0,29.0,11.0,32.0,4.0,18.0,4.0,6.0,17.0,7.0,10.0,5.0,26.0,17.0,20.0,Pre Season,1610612756.0,5.0,3.0,2.0,0.6,245.0,102.2,105.3,105.4,106.6,-3.1,-1.3,0.727,1.91,20.3,0.219,0.745,0.482,0.148,0.527,0.553,105.3,103.15,85.96,526.0,0.503,5.0,8.0,10.0,10.0,5.0,18.0,15.0,20.0,7.0,3.0,5.0,32.0,4.0,23.0,7.0,15.0,20.0,17.0,14.0,Pre Season
portland trail blazers,2024-25,1,1610612757.0,4.0,3.0,1.0,0.75,48.0,40.5,90.3,0.449,10.3,33.5,0.306,18.5,25.3,0.733,14.3,35.3,49.5,26.0,17.8,11.5,6.0,6.0,19.5,22.3,109.8,16.8,21.0,8.0,2.0,7.0,9.0,13.0,15.0,15.0,28.0,30.0,24.0,11.0,10.0,19.0,3.0,14.0,3.0,18.0,19.0,4.0,12.0,21.0,8.0,8.0,19.0,2.0,Pre Season,1610612757.0,4.0,3.0,1.0,0.75,192.0,104.7,107.9,90.3,91.6,14.4,16.2,0.642,1.46,17.8,0.361,0.735,0.549,0.174,0.506,0.541,103.9,101.63,84.69,407.0,0.612,21.0,8.0,2.0,7.0,24.0,14.0,1.0,2.0,18.0,17.0,18.0,1.0,5.0,1.0,18.0,25.0,25.0,23.0,1.0,Pre Season
sacramento kings,2024-25,1,1610612758.0,5.0,0.0,5.0,0.0,48.0,38.4,91.4,0.42,9.4,37.0,0.254,15.4,21.0,0.733,14.8,30.0,44.8,25.8,17.6,12.2,2.8,5.0,24.0,21.4,101.6,-11.6,5.0,29.0,32.0,29.0,9.0,24.0,12.0,28.0,31.0,22.0,32.0,22.0,20.0,18.0,2.0,29.0,23.0,20.0,17.0,3.0,31.0,11.0,28.0,13.0,28.0,27.0,Pre Season,1610612758.0,5.0,0.0,5.0,0.0,240.0,98.2,99.6,110.5,110.8,-12.3,-11.2,0.672,1.47,17.7,0.319,0.8,0.522,0.173,0.472,0.505,102.9,102.1,85.08,510.0,0.439,5.0,29.0,32.0,29.0,9.0,28.0,22.0,27.0,14.0,16.0,19.0,7.0,1.0,7.0,17.0,31.0,31.0,22.0,27.0,Pre Season
san antonio spurs,2024-25,1,1610612759.0,5.0,2.0,3.0,0.4,48.0,41.8,87.4,0.478,12.4,37.2,0.333,16.8,24.2,0.694,9.8,32.8,42.6,30.2,16.4,9.6,3.8,6.2,19.4,19.6,112.8,-2.8,5.0,16.0,19.0,17.0,9.0,8.0,21.0,2.0,18.0,21.0,17.0,19.0,13.0,30.0,22.0,25.0,28.0,2.0,11.0,14.0,25.0,26.0,7.0,23.0,11.0,21.0,Pre Season,1610612759.0,5.0,2.0,3.0,0.4,240.0,107.8,108.5,110.9,111.6,-3.1,-3.1,0.722,1.84,20.6,0.26,0.724,0.489,0.158,0.549,0.575,104.4,103.8,86.5,520.0,0.488,5.0,16.0,19.0,17.0,9.0,10.0,26.0,21.0,10.0,6.0,3.0,24.0,12.0,18.0,11.0,5.0,5.0,11.0,19.0,Pre Season
toronto raptors,2024-25,1,1610612761.0,5.0,3.0,2.0,0.6,48.0,43.4,92.0,0.472,11.6,34.8,0.333,14.8,20.4,0.725,13.2,35.4,48.6,31.4,18.2,8.2,3.0,6.0,26.0,21.4,113.2,2.0,5.0,8.0,10.0,10.0,9.0,6.0,9.0,5.0,22.0,27.0,17.0,25.0,22.0,24.0,6.0,12.0,6.0,1.0,23.0,27.0,30.0,21.0,32.0,13.0,10.0,14.0,Pre Season,1610612761.0,5.0,3.0,2.0,0.6,240.0,106.8,110.8,105.9,108.4,0.9,2.4,0.724,1.73,20.7,0.349,0.722,0.538,0.178,0.535,0.561,105.5,102.4,85.33,511.0,0.52,5.0,8.0,10.0,10.0,9.0,7.0,20.0,14.0,9.0,13.0,1.0,3.0,14.0,3.0,22.0,10.0,14.0,21.0,10.0,Pre Season
utah jazz,2024-25,1,1610612762.0,6.0,4.0,2.0,0.667,48.0,37.3,80.5,0.464,12.8,36.2,0.355,23.8,30.0,0.794,11.2,34.2,45.3,22.5,22.5,7.5,7.0,6.3,17.7,24.3,111.3,0.3,1.0,2.0,10.0,9.0,9.0,26.0,32.0,8.0,17.0,26.0,9.0,1.0,2.0,4.0,14.0,21.0,20.0,29.0,32.0,30.0,3.0,28.0,3.0,3.0,15.0,17.0,Pre Season,1610612762.0,6.0,4.0,2.0,0.667,288.0,106.0,107.6,104.2,107.1,1.8,0.5,0.603,1.0,16.1,0.318,0.68,0.516,0.217,0.543,0.594,105.8,103.58,86.32,621.0,0.503,1.0,2.0,10.0,9.0,2.0,16.0,16.0,19.0,26.0,31.0,30.0,8.0,26.0,8.0,32.0,7.0,2.0,13.0,13.0,Pre Season
