TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2025-26,1,1610612737.0,4.0,2.0,2.0,0.5,49.3,41.3,94.0,0.439,11.3,40.8,0.276,22.8,30.3,0.752,13.0,35.3,48.3,27.5,17.5,9.3,7.3,5.3,26.8,23.0,116.5,-5.0,13.0,15.0,13.0,15.0,2.0,13.0,5.0,20.0,25.0,14.0,31.0,11.0,9.0,20.0,17.0,6.0,8.0,10.0,15.0,17.0,4.0,19.0,30.0,20.0,13.0,22.0,Pre Season,1610612737.0,4.0,2.0,2.0,0.5,197.0,104.6,107.1,108.5,111.6,-3.9,-4.6,0.669,1.59,17.8,0.305,0.662,0.48,0.16,0.501,0.543,109.5,106.72,88.93,438.0,0.481,13.0,15.0,13.0,15.0,13.0,23.0,22.0,23.0,12.0,10.0,17.0,19.0,20.0,24.0,11.0,23.0,23.0,4.0,21.0,Pre Season
boston celtics,2025-26,1,1610612738.0,4.0,3.0,1.0,0.75,48.0,39.5,88.0,0.449,14.5,47.0,0.309,25.0,30.3,0.826,15.8,37.0,52.8,24.8,21.3,11.3,8.3,3.0,26.5,24.8,118.5,12.3,13.0,7.0,4.0,5.0,10.0,20.0,19.0,18.0,10.0,1.0,23.0,5.0,9.0,3.0,4.0,4.0,1.0,19.0,31.0,7.0,1.0,2.0,28.0,12.0,11.0,5.0,Pre Season,1610612738.0,4.0,3.0,1.0,0.75,192.0,110.9,111.5,97.4,100.2,13.5,11.3,0.627,1.16,16.5,0.364,0.657,0.521,0.2,0.531,0.585,107.9,106.13,88.44,425.0,0.575,13.0,7.0,4.0,5.0,18.0,14.0,2.0,5.0,26.0,31.0,24.0,6.0,23.0,10.0,30.0,17.0,14.0,7.0,5.0,Pre Season
brooklyn nets,2025-26,1,1610612751.0,4.0,2.0,2.0,0.5,49.3,41.3,83.5,0.494,15.8,36.8,0.429,20.5,28.0,0.732,14.0,32.3,46.3,27.5,24.0,7.5,3.0,6.8,26.5,27.3,118.8,6.8,13.0,15.0,13.0,15.0,2.0,13.0,27.0,5.0,5.0,20.0,1.0,19.0,16.0,22.0,10.0,22.0,14.0,10.0,34.0,31.0,31.0,27.0,28.0,3.0,10.0,10.0,Pre Season,1610612751.0,4.0,2.0,2.0,0.5,197.0,112.2,115.3,107.8,109.3,4.4,6.0,0.667,1.15,18.4,0.414,0.662,0.547,0.233,0.588,0.62,102.2,100.14,83.45,412.0,0.521,13.0,15.0,13.0,15.0,13.0,7.0,18.0,10.0,13.0,33.0,12.0,2.0,21.0,4.0,34.0,1.0,2.0,28.0,12.0,Pre Season
charlotte hornets,2025-26,1,1610612766.0,5.0,2.0,3.0,0.4,48.0,42.0,92.4,0.455,16.2,44.8,0.362,20.4,27.4,0.745,14.4,35.4,49.8,26.8,19.4,8.0,3.2,6.0,17.8,22.6,120.6,0.2,6.0,15.0,24.0,20.0,10.0,6.0,7.0,17.0,4.0,8.0,8.0,22.0,20.0,21.0,8.0,5.0,6.0,16.0,29.0,27.0,30.0,24.0,3.0,24.0,7.0,18.0,Pre Season,1610612766.0,5.0,2.0,3.0,0.4,240.0,110.2,114.6,113.1,114.7,-2.9,0.0,0.638,1.38,17.7,0.363,0.756,0.552,0.184,0.542,0.577,108.0,105.1,87.58,526.0,0.49,6.0,15.0,24.0,20.0,8.0,8.0,27.0,19.0,22.0,20.0,18.0,7.0,1.0,3.0,28.0,16.0,17.0,11.0,20.0,Pre Season
chicago bulls,2025-26,1,1610612741.0,5.0,3.0,2.0,0.6,48.0,42.8,89.2,0.48,12.4,40.8,0.304,22.2,31.0,0.716,11.4,37.6,49.0,31.0,18.2,8.6,5.4,4.2,24.0,25.6,120.2,0.2,6.0,7.0,13.0,12.0,10.0,4.0,13.0,10.0,20.0,13.0,26.0,13.0,6.0,26.0,24.0,3.0,7.0,1.0,20.0,24.0,18.0,8.0,18.0,10.0,8.0,18.0,Pre Season,1610612741.0,5.0,3.0,2.0,0.6,240.0,109.6,111.9,109.1,111.9,0.5,0.0,0.724,1.7,20.3,0.289,0.74,0.523,0.169,0.549,0.584,109.8,107.3,89.42,537.0,0.525,6.0,7.0,13.0,12.0,8.0,12.0,23.0,18.0,4.0,8.0,2.0,26.0,3.0,9.0,17.0,10.0,15.0,2.0,10.0,Pre Season
cleveland cavaliers,2025-26,1,1610612739.0,4.0,1.0,3.0,0.25,48.0,39.3,92.8,0.423,15.0,46.3,0.324,20.0,29.3,0.684,13.5,28.0,41.5,27.5,17.8,14.0,6.5,5.0,25.5,26.0,113.5,-5.3,13.0,22.0,24.0,23.0,10.0,21.0,6.0,27.0,8.0,3.0,19.0,23.0,13.0,31.0,13.0,31.0,30.0,10.0,17.0,1.0,6.0,15.0,25.0,6.0,21.0,23.0,Pre Season,1610612739.0,4.0,1.0,3.0,0.25,192.0,103.3,106.8,108.8,110.5,-5.5,-3.6,0.701,1.55,18.2,0.301,0.646,0.457,0.167,0.504,0.537,109.5,106.88,89.06,425.0,0.461,13.0,22.0,24.0,23.0,18.0,24.0,20.0,22.0,6.0,12.0,14.0,20.0,28.0,31.0,14.0,22.0,26.0,3.0,26.0,Pre Season
dallas mavericks,2025-26,1,1610612742.0,4.0,3.0,1.0,0.75,48.0,40.5,88.5,0.458,11.3,36.5,0.308,22.0,27.8,0.793,10.3,39.8,50.0,29.5,15.5,10.0,8.0,4.5,18.3,22.3,114.3,13.3,13.0,7.0,4.0,5.0,10.0,18.0,17.0,16.0,25.0,21.0,24.0,14.0,18.0,10.0,27.0,1.0,5.0,4.0,5.0,11.0,2.0,11.0,5.0,26.0,18.0,4.0,Pre Season,1610612742.0,4.0,3.0,1.0,0.75,192.0,107.8,110.4,95.1,97.1,12.7,13.3,0.728,1.9,20.1,0.273,0.718,0.51,0.15,0.521,0.567,106.1,103.75,86.46,414.0,0.609,13.0,7.0,4.0,5.0,18.0,16.0,1.0,4.0,2.0,3.0,3.0,30.0,8.0,15.0,4.0,19.0,19.0,13.0,2.0,Pre Season
denver nuggets,2025-26,1,1610612743.0,5.0,3.0,2.0,0.6,48.0,37.6,80.0,0.47,12.6,35.4,0.356,21.2,27.6,0.768,8.8,33.6,42.4,24.2,17.2,9.2,3.8,4.4,22.6,23.8,109.0,1.2,6.0,7.0,13.0,12.0,10.0,26.0,32.0,13.0,19.0,25.0,12.0,17.0,19.0,15.0,32.0,14.0,27.0,24.0,14.0,20.0,27.0,10.0,14.0,13.0,27.0,16.0,Pre Season,1610612743.0,5.0,3.0,2.0,0.6,240.0,108.4,110.3,107.8,108.9,0.6,1.4,0.644,1.41,17.8,0.274,0.724,0.508,0.174,0.549,0.591,100.3,98.9,82.42,494.0,0.505,6.0,7.0,13.0,12.0,8.0,17.0,15.0,14.0,17.0,18.0,16.0,29.0,5.0,16.0,20.0,11.0,11.0,30.0,14.0,Pre Season
detroit pistons,2025-26,1,1610612765.0,4.0,2.0,2.0,0.5,48.0,41.5,83.3,0.498,11.8,33.0,0.356,19.8,29.3,0.675,12.0,32.8,44.8,27.5,19.3,11.5,7.0,6.8,26.3,25.8,114.5,3.3,13.0,15.0,13.0,15.0,10.0,11.0,28.0,3.0,23.0,32.0,11.0,26.0,13.0,33.0,21.0,18.0,19.0,10.0,28.0,6.0,5.0,27.0,27.0,8.0,17.0,13.0,Pre Season,1610612765.0,4.0,2.0,2.0,0.5,192.0,110.8,113.4,107.7,110.1,3.1,3.2,0.663,1.43,19.1,0.337,0.698,0.524,0.191,0.569,0.596,103.4,101.0,84.17,404.0,0.544,13.0,15.0,13.0,15.0,18.0,9.0,19.0,12.0,14.0,17.0,8.0,12.0,15.0,8.0,29.0,7.0,10.0,26.0,7.0,Pre Season
golden state warriors,2025-26,1,1610612744.0,5.0,3.0,2.0,0.6,48.0,41.2,87.4,0.471,16.6,45.4,0.366,16.4,21.4,0.766,9.6,33.2,42.8,29.8,22.0,9.8,4.2,3.2,23.2,21.0,115.4,1.6,6.0,7.0,13.0,12.0,10.0,15.0,22.0,11.0,3.0,7.0,7.0,32.0,32.0,16.0,29.0,16.0,23.0,3.0,32.0,13.0,22.0,4.0,16.0,32.0,15.0,15.0,Pre Season,1610612744.0,5.0,3.0,2.0,0.6,240.0,105.7,107.9,104.5,107.2,1.2,0.7,0.723,1.35,19.8,0.296,0.646,0.484,0.206,0.566,0.596,109.1,106.6,88.83,535.0,0.519,6.0,7.0,13.0,12.0,8.0,22.0,12.0,16.0,5.0,23.0,4.0,23.0,27.0,22.0,31.0,8.0,9.0,5.0,13.0,Pre Season
