TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2019-20,1,1610612737.0,5.0,1.0,4.0,0.2,48.0,33.6,84.4,0.398,11.0,35.2,0.313,17.2,26.2,0.656,10.2,37.0,47.2,22.6,22.2,7.2,4.6,7.0,23.0,24.8,95.4,-16.0,3.0,26.0,36.0,28.0,3.0,35.0,31.0,35.0,21.0,14.0,31.0,25.0,17.0,33.0,15.0,13.0,14.0,27.0,35.0,31.0,21.0,35.0,17.0,13.0,31.0,30.0,Pre Season,1610612737.0,5.0,1.0,4.0,0.2,240.0,88.4,91.0,103.1,105.7,-14.7,-14.7,0.673,1.02,16.0,0.252,0.708,0.478,0.212,0.463,0.497,108.0,105.1,87.58,524.0,0.412,3.0,26.0,36.0,28.0,4.0,32.0,24.0,30.0,8.0,31.0,26.0,20.0,28.0,28.0,35.0,35.0,34.0,22.0,30.0,Pre Season
boston celtics,2019-20,1,1610612738.0,4.0,4.0,0.0,1.0,48.0,41.5,86.3,0.481,12.5,35.3,0.355,15.3,22.5,0.678,11.0,36.5,47.5,24.3,20.5,9.3,7.5,4.3,20.5,22.3,110.8,23.8,22.0,3.0,1.0,1.0,3.0,7.0,25.0,5.0,14.0,13.0,13.0,32.0,27.0,31.0,10.0,17.0,11.0,20.0,24.0,12.0,2.0,13.0,7.0,25.0,14.0,1.0,Pre Season,1610612738.0,4.0,4.0,0.0,1.0,192.0,104.8,108.0,82.7,84.7,22.1,23.4,0.584,1.18,17.1,0.318,0.718,0.528,0.2,0.554,0.576,105.4,102.63,85.52,410.0,0.662,22.0,3.0,1.0,1.0,23.0,8.0,1.0,1.0,27.0,22.0,15.0,3.0,25.0,7.0,29.0,6.0,8.0,31.0,1.0,Pre Season
brooklyn nets,2019-20,1,1610612751.0,4.0,3.0,1.0,0.75,48.0,39.5,83.8,0.472,15.3,39.5,0.386,18.0,27.5,0.655,10.3,37.3,47.5,26.8,20.0,10.3,5.3,5.8,20.3,25.3,112.3,12.3,22.0,7.0,5.0,7.0,3.0,16.0,34.0,8.0,3.0,6.0,6.0,23.0,10.0,34.0,13.0,12.0,11.0,6.0,20.0,8.0,16.0,27.0,6.0,9.0,12.0,6.0,Pre Season,1610612751.0,4.0,3.0,1.0,0.75,192.0,106.3,106.9,92.4,95.5,13.9,11.4,0.677,1.34,18.4,0.276,0.71,0.507,0.19,0.563,0.586,106.9,104.88,87.4,420.0,0.582,22.0,7.0,5.0,7.0,23.0,9.0,6.0,5.0,7.0,10.0,7.0,14.0,27.0,17.0,22.0,3.0,5.0,24.0,4.0,Pre Season
charlotte hornets,2019-20,1,1610612766.0,5.0,1.0,4.0,0.2,48.0,38.0,85.8,0.443,10.8,33.2,0.325,16.6,20.0,0.83,9.6,36.6,46.2,23.8,21.6,7.6,5.6,7.0,22.0,21.4,103.4,-2.6,3.0,26.0,36.0,28.0,3.0,22.0,26.0,16.0,22.0,21.0,24.0,27.0,32.0,4.0,18.0,15.0,17.0,22.0,32.0,25.0,12.0,35.0,13.0,28.0,28.0,24.0,Pre Season,1610612766.0,5.0,1.0,4.0,0.2,240.0,97.0,97.7,98.1,100.2,-1.1,-2.5,0.626,1.1,16.8,0.248,0.737,0.495,0.204,0.506,0.547,107.4,105.8,88.17,529.0,0.492,3.0,26.0,36.0,28.0,4.0,26.0,16.0,24.0,17.0,29.0,20.0,23.0,18.0,21.0,34.0,16.0,16.0,20.0,21.0,Pre Season
chicago bulls,2019-20,1,1610612741.0,5.0,2.0,3.0,0.4,48.0,39.8,95.6,0.416,12.8,39.4,0.325,15.6,22.2,0.703,13.8,36.2,50.0,25.0,17.2,10.2,4.2,6.0,23.2,20.4,108.0,0.4,3.0,16.0,24.0,19.0,3.0,12.0,2.0,29.0,11.0,7.0,25.0,31.0,29.0,29.0,2.0,19.0,5.0,15.0,3.0,10.0,25.0,30.0,18.0,31.0,20.0,18.0,Pre Season,1610612741.0,5.0,2.0,3.0,0.4,240.0,99.3,101.3,98.1,100.4,1.2,0.9,0.628,1.45,16.9,0.284,0.754,0.5,0.161,0.483,0.512,109.2,106.9,89.08,533.0,0.479,3.0,16.0,24.0,19.0,4.0,19.0,17.0,18.0,16.0,4.0,17.0,11.0,11.0,18.0,3.0,29.0,32.0,17.0,25.0,Pre Season
cleveland cavaliers,2019-20,1,1610612739.0,4.0,1.0,3.0,0.25,48.0,35.5,82.8,0.429,10.8,37.8,0.285,16.3,21.5,0.756,8.3,30.8,39.0,18.5,19.8,7.5,3.3,6.3,22.8,21.3,98.0,-10.5,22.0,26.0,24.0,26.0,3.0,30.0,35.0,24.0,23.0,10.0,36.0,29.0,31.0,15.0,28.0,34.0,31.0,32.0,17.0,27.0,32.0,34.0,15.0,29.0,30.0,29.0,Pre Season,1610612739.0,4.0,1.0,3.0,0.25,192.0,94.5,95.6,104.0,106.1,-9.5,-10.5,0.521,0.94,13.9,0.246,0.736,0.48,0.193,0.494,0.531,104.0,102.38,85.31,410.0,0.424,22.0,26.0,24.0,26.0,23.0,30.0,25.0,29.0,34.0,34.0,34.0,24.0,19.0,26.0,25.0,22.0,23.0,33.0,29.0,Pre Season
dallas mavericks,2019-20,1,1610612742.0,5.0,2.0,3.0,0.4,48.0,36.2,87.0,0.416,14.0,42.8,0.327,21.8,28.8,0.757,10.4,39.8,50.2,24.6,20.4,8.0,4.2,4.8,24.2,25.0,108.2,4.6,3.0,16.0,24.0,19.0,3.0,29.0,19.0,31.0,7.0,4.0,23.0,7.0,6.0,13.0,12.0,4.0,4.0,17.0,22.0,20.0,25.0,15.0,24.0,10.0,19.0,10.0,Pre Season,1610612742.0,5.0,2.0,3.0,0.4,240.0,98.7,101.7,96.7,97.9,2.0,3.8,0.68,1.21,16.7,0.297,0.811,0.547,0.192,0.497,0.543,108.4,106.1,88.42,532.0,0.518,3.0,16.0,24.0,19.0,4.0,17.0,11.0,10.0,6.0,21.0,21.0,7.0,1.0,2.0,23.0,21.0,19.0,18.0,14.0,Pre Season
denver nuggets,2019-20,1,1610612743.0,4.0,4.0,0.0,1.0,48.0,40.0,85.3,0.469,8.5,28.0,0.304,19.8,26.5,0.745,9.5,37.8,47.3,24.5,21.3,11.3,3.5,3.8,25.5,22.8,108.3,10.5,22.0,3.0,1.0,1.0,3.0,11.0,28.0,9.0,36.0,34.0,33.0,14.0,16.0,17.0,20.0,10.0,13.0,18.0,28.0,3.0,30.0,5.0,27.0,24.0,18.0,7.0,Pre Season,1610612743.0,4.0,4.0,0.0,1.0,192.0,99.6,100.7,90.2,91.8,9.4,8.9,0.613,1.15,16.9,0.269,0.779,0.534,0.198,0.519,0.559,108.5,107.0,89.17,430.0,0.562,22.0,3.0,1.0,1.0,23.0,22.0,3.0,7.0,22.0,24.0,16.0,15.0,6.0,4.0,27.0,14.0,14.0,16.0,5.0,Pre Season
detroit pistons,2019-20,1,1610612765.0,5.0,3.0,2.0,0.6,48.0,38.2,89.6,0.426,10.4,34.2,0.304,18.4,24.8,0.742,10.8,35.2,46.0,25.0,17.8,5.8,4.8,6.2,19.4,24.0,105.2,-5.4,3.0,7.0,13.0,9.0,3.0,21.0,10.0,25.0,25.0,19.0,32.0,22.0,20.0,19.0,11.0,22.0,19.0,15.0,7.0,36.0,20.0,33.0,4.0,16.0,22.0,27.0,Pre Season,1610612765.0,5.0,3.0,2.0,0.6,240.0,97.8,101.2,106.2,106.6,-8.4,-5.4,0.654,1.4,17.3,0.293,0.771,0.519,0.171,0.484,0.523,105.8,103.9,86.58,520.0,0.47,3.0,7.0,13.0,9.0,4.0,20.0,26.0,27.0,12.0,8.0,14.0,9.0,8.0,11.0,9.0,28.0,30.0,29.0,27.0,Pre Season
golden state warriors,2019-20,1,1610612744.0,5.0,2.0,3.0,0.4,48.0,37.6,91.2,0.412,12.8,38.8,0.33,23.8,28.0,0.85,12.8,33.8,46.6,22.0,18.8,11.0,6.4,4.8,27.0,25.6,111.8,-4.0,3.0,16.0,24.0,19.0,3.0,24.0,5.0,32.0,11.0,9.0,22.0,4.0,9.0,2.0,4.0,25.0,15.0,28.0,15.0,4.0,8.0,15.0,33.0,7.0,13.0,25.0,Pre Season,1610612744.0,5.0,2.0,3.0,0.4,240.0,102.1,103.7,104.3,106.8,-2.3,-3.1,0.585,1.17,15.0,0.297,0.673,0.48,0.174,0.482,0.54,110.2,108.1,90.08,539.0,0.476,3.0,16.0,24.0,19.0,4.0,13.0,28.0,25.0,26.0,23.0,29.0,6.0,34.0,27.0,13.0,31.0,20.0,12.0,26.0,Pre Season
