TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,2,2,0.5,192.0,101.0,103.2,104.5,106.6,-3.5,-3.4,0.667,1.35,16.2,0.267,0.77,0.515,0.162,0.47,0.534,111.7,109.38,91.15,437,0.482,1,7,15,14,1,14,22,18,6,16,21,8,11,8,12,28,23,4,18,2020-21,3,Pre Season
1610612738,Boston Celtics,2,0,2,0.0,96.0,88.3,90.4,102.7,104.7,-14.4,-14.4,0.544,0.88,13.5,0.273,0.703,0.479,0.202,0.443,0.485,107.0,104.75,87.29,208,0.379,26,25,15,25,26,30,17,29,29,30,30,7,28,24,27,30,30,16,30,2020-21,3,Pre Season
1610612751,Brooklyn Nets,2,2,0,1.0,96.0,107.1,107.4,91.5,94.4,15.6,13.0,0.645,1.36,17.3,0.219,0.73,0.505,0.167,0.562,0.599,109.7,107.75,89.79,216,0.61,26,7,1,1,26,7,3,4,9,15,10,24,21,12,16,3,3,10,2,2020-21,3,Pre Season
1610612766,Charlotte Hornets,4,1,3,0.25,192.0,101.8,103.9,103.1,105.8,-1.3,-1.8,0.701,1.39,18.6,0.249,0.74,0.498,0.183,0.527,0.562,110.7,108.13,90.1,432,0.492,1,19,24,23,1,13,19,15,2,13,4,12,18,15,21,11,10,8,15,2020-21,3,Pre Season
1610612741,Chicago Bulls,4,3,1,0.75,192.0,100.9,102.8,98.5,99.5,2.4,3.3,0.604,1.34,16.9,0.295,0.798,0.557,0.174,0.508,0.534,107.7,106.13,88.44,425,0.538,1,2,6,6,1,15,10,11,18,19,12,4,4,2,19,16,22,12,10,2020-21,3,Pre Season
1610612739,Cleveland Cavaliers,4,2,2,0.5,192.0,96.8,99.5,104.5,106.2,-7.7,-6.7,0.626,0.91,16.1,0.281,0.78,0.535,0.239,0.524,0.562,102.9,100.63,83.85,401,0.443,1,7,15,14,1,23,20,23,12,29,22,6,5,4,30,13,11,26,24,2020-21,3,Pre Season
1610612742,Dallas Mavericks,3,2,1,0.667,149.0,111.2,113.3,105.3,106.5,5.9,6.7,0.606,2.08,17.5,0.237,0.772,0.495,0.114,0.534,0.57,105.6,104.05,86.71,324,0.514,14,7,6,10,14,4,21,10,17,1,9,17,9,16,1,8,8,18,12,2020-21,3,Pre Season
1610612743,Denver Nuggets,3,2,1,0.667,144.0,112.5,114.3,92.4,95.5,20.1,18.8,0.685,1.68,19.7,0.32,0.772,0.556,0.168,0.555,0.586,107.1,104.5,87.08,315,0.64,14,7,6,10,16,3,4,1,4,3,2,3,8,3,17,5,7,17,1,2020-21,3,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,192.0,90.0,91.0,87.0,89.1,3.0,2.0,0.591,0.91,14.7,0.214,0.754,0.488,0.208,0.486,0.521,104.8,103.0,85.83,413,0.506,1,7,15,14,1,29,1,13,19,28,27,25,16,21,28,25,25,22,13,2020-21,3,Pre Season
1610612744,Golden State Warriors,3,2,1,0.667,144.0,100.6,101.8,94.3,99.4,6.3,2.4,0.635,1.43,17.0,0.205,0.731,0.479,0.156,0.511,0.548,112.5,108.83,90.69,327,0.525,14,7,6,10,16,17,8,12,11,10,11,26,20,23,10,14,14,5,11,2020-21,3,Pre Season
