TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,2,2,0.5,197.0,104.6,107.1,108.5,111.6,-3.9,-4.6,0.669,1.59,17.8,0.305,0.662,0.48,0.16,0.501,0.543,109.5,106.72,88.93,438,0.481,13,15,13,15,13,23,22,23,12,10,17,19,20,24,11,23,23,4,21,2025-26,1,Pre Season
1610612738,Boston Celtics,4,3,1,0.75,192.0,110.9,111.5,97.4,100.2,13.5,11.3,0.627,1.16,16.5,0.364,0.657,0.521,0.2,0.531,0.585,107.9,106.13,88.44,425,0.575,13,7,4,5,18,14,2,5,26,31,24,6,23,10,30,17,14,7,5,2025-26,1,Pre Season
1610612751,Brooklyn Nets,4,2,2,0.5,197.0,112.2,115.3,107.8,109.3,4.4,6.0,0.667,1.15,18.4,0.414,0.662,0.547,0.233,0.588,0.62,102.2,100.14,83.45,412,0.521,13,15,13,15,13,7,18,10,13,33,12,2,21,4,34,1,2,28,12,2025-26,1,Pre Season
1610612766,Charlotte Hornets,5,2,3,0.4,240.0,110.2,114.6,113.1,114.7,-2.9,0.0,0.638,1.38,17.7,0.363,0.756,0.552,0.184,0.542,0.577,108.0,105.1,87.58,526,0.49,6,15,24,20,8,8,27,19,22,20,18,7,1,3,28,16,17,11,20,2025-26,1,Pre Season
1610612741,Chicago Bulls,5,3,2,0.6,240.0,109.6,111.9,109.1,111.9,0.5,0.0,0.724,1.7,20.3,0.289,0.74,0.523,0.169,0.549,0.584,109.8,107.3,89.42,537,0.525,6,7,13,12,8,12,23,18,4,8,2,26,3,9,17,10,15,2,10,2025-26,1,Pre Season
1610612739,Cleveland Cavaliers,4,1,3,0.25,192.0,103.3,106.8,108.8,110.5,-5.5,-3.6,0.701,1.55,18.2,0.301,0.646,0.457,0.167,0.504,0.537,109.5,106.88,89.06,425,0.461,13,22,24,23,18,24,20,22,6,12,14,20,28,31,14,22,26,3,26,2025-26,1,Pre Season
1610612742,Dallas Mavericks,4,3,1,0.75,192.0,107.8,110.4,95.1,97.1,12.7,13.3,0.728,1.9,20.1,0.273,0.718,0.51,0.15,0.521,0.567,106.1,103.75,86.46,414,0.609,13,7,4,5,18,16,1,4,2,3,3,30,8,15,4,19,19,13,2,2025-26,1,Pre Season
1610612743,Denver Nuggets,5,3,2,0.6,240.0,108.4,110.3,107.8,108.9,0.6,1.4,0.644,1.41,17.8,0.274,0.724,0.508,0.174,0.549,0.591,100.3,98.9,82.42,494,0.505,6,7,13,12,8,17,15,14,17,18,16,29,5,16,20,11,11,30,14,2025-26,1,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,192.0,110.8,113.4,107.7,110.1,3.1,3.2,0.663,1.43,19.1,0.337,0.698,0.524,0.191,0.569,0.596,103.4,101.0,84.17,404,0.544,13,15,13,15,18,9,19,12,14,17,8,12,15,8,29,7,10,26,7,2025-26,1,Pre Season
1610612744,Golden State Warriors,5,3,2,0.6,240.0,105.7,107.9,104.5,107.2,1.2,0.7,0.723,1.35,19.8,0.296,0.646,0.484,0.206,0.566,0.596,109.1,106.6,88.83,535,0.519,6,7,13,12,8,22,12,16,5,23,4,23,27,22,31,8,9,5,13,2025-26,1,Pre Season
15018,Guangzhou Loong-Lions,3,0,3,0.0,144.0,85.6,87.1,134.2,133.4,-48.7,-46.3,0.605,0.78,13.1,0.212,0.606,0.38,0.214,0.433,0.499,99.1,98.5,82.08,295,0.224,30,30,24,30,30,34,34,34,30,34,34,33,34,34,33,32,31,32,34,2025-26,1,Pre Season
50014,Hapoel Jerusalem B.C.,1,0,1,0.0,48.0,92.4,92.6,130.8,128.1,-38.4,-35.5,0.643,1.2,14.0,0.296,0.636,0.449,0.158,0.403,0.472,94.7,95.5,79.58,95,0.323,32,30,4,30,32,32,33,33,18,30,33,23,31,33,9,33,33,34,32,2025-26,1,Pre Season
1610612745,Houston Rockets,4,4,0,1.0,192.0,121.9,123.2,110.2,113.6,11.7,9.6,0.61,1.73,18.2,0.351,0.702,0.532,0.15,0.57,0.62,108.6,106.38,88.65,426,0.554,13,2,1,1,18,1,25,6,29,7,13,9,14,5,5,5,1,6,6,2025-26,1,Pre Season
1610612754,Indiana Pacers,4,2,2,0.5,197.0,106.8,109.5,113.3,115.8,-6.5,-6.3,0.693,1.26,18.7,0.347,0.68,0.514,0.213,0.546,0.584,105.7,103.31,86.09,423,0.462,13,15,13,15,13,20,28,25,7,27,9,10,17,12,32,13,16,16,24,2025-26,1,Pre Season
1610612746,LA Clippers,4,3,1,0.75,192.0,115.0,115.6,96.8,100.8,18.2,14.9,0.725,1.89,21.6,0.285,0.719,0.513,0.164,0.586,0.609,99.5,97.25,81.04,390,0.614,13,7,4,5,18,6,3,2,3,4,1,27,6,13,12,2,5,33,1,2025-26,1,Pre Season
1610612747,Los Angeles Lakers,6,1,5,0.167,288.0,102.0,103.7,108.7,112.4,-6.7,-8.7,0.633,1.21,16.2,0.284,0.705,0.491,0.183,0.499,0.55,103.2,100.67,83.89,602,0.447,1,22,33,29,3,28,24,27,24,29,27,28,11,21,27,25,21,27,29,2025-26,1,Pre Season
15016,Melbourne United,1,0,1,0.0,48.0,92.6,95.1,103.3,104.9,-10.8,-9.8,0.639,1.28,16.0,0.333,0.679,0.5,0.176,0.462,0.486,104.2,102.0,85.0,102,0.445,32,30,4,30,32,31,7,30,21,26,30,14,18,18,22,31,32,22,30,2025-26,1,Pre Season
1610612763,Memphis Grizzlies,5,1,4,0.2,240.0,109.3,111.8,118.9,121.6,-9.6,-9.8,0.641,1.4,16.9,0.301,0.656,0.471,0.167,0.529,0.57,107.7,105.3,87.75,526,0.431,6,22,31,28,8,13,30,31,19,19,22,21,24,27,15,18,18,10,31,2025-26,1,Pre Season
1610612748,Miami Heat,6,0,6,0.0,293.0,100.7,102.6,109.6,111.4,-8.9,-8.8,0.631,1.34,16.4,0.296,0.646,0.474,0.17,0.481,0.53,108.0,106.08,88.4,648,0.461,1,30,34,30,2,29,21,28,25,24,25,22,29,26,18,29,28,8,25,2025-26,1,Pre Season
1610612749,Milwaukee Bucks,4,3,1,0.75,192.0,108.4,110.1,103.7,105.3,4.7,4.8,0.636,1.48,17.9,0.161,0.728,0.455,0.158,0.573,0.607,106.1,104.5,87.08,417,0.495,13,7,4,5,18,18,8,11,23,13,15,34,4,32,10,4,6,12,19,2025-26,1,Pre Season
1610612750,Minnesota Timberwolves,6,2,4,0.333,298.0,112.6,113.1,106.5,106.6,6.1,6.4,0.645,1.43,18.6,0.308,0.706,0.514,0.181,0.569,0.604,102.6,102.36,85.3,636,0.523,1,15,31,21,1,10,10,9,16,16,10,18,10,11,24,6,7,20,11,2025-26,1,Pre Season
1610612740,New Orleans Pelicans,4,2,2,0.5,192.0,115.5,117.9,107.6,109.2,7.9,8.7,0.538,1.56,17.0,0.352,0.653,0.512,0.153,0.548,0.59,105.1,103.25,86.04,413,0.543,13,15,13,15,18,4,16,7,34,11,21,8,25,14,6,12,12,17,8,2025-26,1,Pre Season
1610612752,New York Knicks,5,4,1,0.8,245.0,102.8,104.8,100.4,101.8,2.4,3.0,0.616,1.46,16.1,0.317,0.707,0.498,0.155,0.482,0.519,100.2,98.55,82.12,504,0.499,6,2,4,4,6,27,4,13,28,14,28,16,9,19,8,28,29,31,16,2025-26,1,Pre Season
1610612760,Oklahoma City Thunder,6,4,2,0.667,288.0,103.3,105.5,102.1,105.3,1.2,0.2,0.652,1.46,17.6,0.248,0.702,0.475,0.165,0.52,0.558,106.5,103.75,86.46,623,0.501,1,2,13,10,3,26,9,17,15,15,19,32,13,25,13,20,20,13,15,2025-26,1,Pre Season
1610612753,Orlando Magic,4,4,0,1.0,192.0,121.0,122.2,103.7,107.5,17.3,14.7,0.617,1.37,17.0,0.443,0.658,0.555,0.181,0.542,0.603,105.9,103.5,86.25,414,0.59,13,2,1,1,18,2,13,3,27,21,20,1,22,2,25,15,8,15,4,2025-26,1,Pre Season
1610612755,Philadelphia 76ers,4,1,3,0.25,192.0,96.8,99.5,108.1,109.2,-11.3,-9.7,0.596,1.16,15.2,0.324,0.668,0.492,0.181,0.466,0.517,105.2,103.25,86.04,414,0.449,13,22,24,23,18,30,17,29,31,32,31,15,19,20,25,30,30,17,27,2025-26,1,Pre Season
1610612756,Phoenix Suns,4,3,1,0.75,197.0,106.0,109.9,99.3,102.2,6.7,7.7,0.671,1.75,18.5,0.342,0.642,0.484,0.154,0.512,0.54,104.5,101.12,84.26,416,0.54,13,7,4,5,13,19,5,8,10,6,11,11,30,23,7,21,25,25,9,2025-26,1,Pre Season
1610612757,Portland Trail Blazers,4,1,3,0.25,192.0,108.5,110.7,112.3,114.1,-3.8,-3.4,0.554,1.21,14.7,0.384,0.704,0.527,0.173,0.5,0.543,112.0,110.0,91.67,440,0.448,13,22,24,23,18,15,26,21,33,28,32,3,12,7,19,24,24,1,28,2025-26,1,Pre Season
1610612758,Sacramento Kings,4,1,3,0.25,192.0,108.7,112.1,116.4,117.7,-7.6,-5.6,0.567,1.37,16.8,0.293,0.697,0.501,0.168,0.546,0.586,103.5,101.38,84.48,404,0.479,13,22,24,23,18,11,29,24,32,22,23,25,16,17,16,14,13,23,22,2025-26,1,Pre Season
1610612759,San Antonio Spurs,5,5,0,1.0,245.0,118.7,120.3,103.8,104.1,14.9,16.2,0.67,1.59,19.4,0.375,0.742,0.558,0.178,0.579,0.618,102.0,101.19,84.33,517,0.594,6,1,1,1,6,3,6,1,11,9,6,4,2,1,23,3,3,24,3,2025-26,1,Pre Season
