TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON,MONTH
1610612737,Atlanta Hawks,5,2,3,0.4,240.0,194,425,0.456,47,161,0.292,82,118,0.695,50,172,222,120,88.0,45,26,38,110,104,517,-5.0,2,15,18,18,7,9,12,13,21,12,28,19,14,27,7,9,9,7,21,6,6,30,19,19,11,19,2019-20,1
1610612738,Boston Celtics,4,3,1,0.75,192.0,158,384,0.411,52,146,0.356,71,100,0.71,49,139,188,88,44.0,32,23,21,95,109,439,26.0,16,6,2,5,20,26,16,27,17,18,13,24,22,26,12,25,23,27,1,21,14,12,8,11,25,8,2019-20,1
1610612751,Brooklyn Nets,4,1,3,0.25,202.0,170,373,0.456,56,147,0.381,84,123,0.683,50,151,201,89,79.0,31,21,20,97,106,480,-8.0,16,21,18,21,16,18,21,14,11,17,5,17,9,28,7,18,18,25,16,22,19,10,12,16,17,20,2019-20,1
1610612766,Charlotte Hornets,5,2,3,0.4,240.0,199,430,0.463,75,179,0.419,67,93,0.72,50,162,212,127,98.0,29,19,31,107,106,540,-48.0,2,15,18,18,7,7,9,10,2,6,1,25,26,25,7,14,12,4,28,23,25,27,15,16,7,28,2019-20,1
1610612741,Chicago Bulls,5,1,4,0.2,240.0,193,470,0.411,53,181,0.293,89,115,0.774,58,151,209,105,58.0,46,23,35,109,104,528,-30.0,2,21,26,26,7,10,3,28,14,5,27,13,15,14,2,18,13,12,6,1,14,29,17,19,10,25,2019-20,1
1610612739,Cleveland Cavaliers,4,2,2,0.5,192.0,159,346,0.46,42,128,0.328,64,87,0.736,42,151,193,87,66.0,22,19,19,78,84,424,-9.0,16,15,11,15,20,24,30,11,23,26,20,27,27,22,23,18,20,28,11,30,25,7,3,27,28,21,2019-20,1
1610612742,Dallas Mavericks,4,3,1,0.75,192.0,158,347,0.455,51,163,0.313,92,124,0.742,39,144,183,96,52.0,27,20,11,77,108,459,16.0,16,6,2,5,20,26,29,15,18,11,23,11,7,20,27,23,28,20,4,26,22,1,2,15,20,9,2019-20,1
1610612743,Denver Nuggets,5,3,2,0.6,245.0,192,451,0.426,53,153,0.346,93,113,0.823,57,172,229,112,72.0,37,25,22,115,116,530,-2.0,2,6,11,12,2,11,4,23,14,14,16,9,17,6,3,9,8,9,14,12,9,15,20,5,9,18,2019-20,1
1610612765,Detroit Pistons,5,2,3,0.4,240.0,195,408,0.478,56,134,0.418,93,124,0.75,44,165,209,117,95.0,29,22,17,102,109,539,-24.0,2,15,18,18,7,8,14,3,11,23,2,9,7,17,20,13,13,8,26,23,18,4,14,11,8,24,2019-20,1
1610612744,Golden State Warriors,4,1,3,0.25,192.0,156,377,0.414,42,138,0.304,104,121,0.86,53,132,185,105,64.0,36,10,21,80,92,458,-47.0,16,21,18,21,20,29,18,26,23,22,25,5,11,2,5,29,25,12,9,14,30,12,4,26,22,27,2019-20,1
