GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022200050,2022-10-24,minnesota timberwolves,san antonio spurs,106,115,0.442,0.457,24,37,50,50,16,13,-9.0,9.0,0
0022200051,2022-10-24,denver nuggets,portland trail blazers,110,135,0.495,0.578,28,23,38,45,8,8,-25.0,25.0,0
0022200052,2022-10-25,detroit pistons,washington wizards,99,120,0.409,0.518,12,26,41,47,13,11,-21.0,21.0,0
0022200053,2022-10-25,dallas mavericks,new orleans pelicans,111,113,0.5,0.579,18,25,37,26,11,14,-2.0,2.0,0
0022200054,2022-10-25,la clippers,oklahoma city thunder,94,108,0.422,0.382,21,19,47,60,18,5,-14.0,14.0,0
0022200055,2022-10-25,golden state warriors,phoenix suns,105,134,0.451,0.511,28,31,40,48,13,13,-29.0,29.0,0
0022200056,2022-10-26,cleveland cavaliers,orlando magic,103,92,0.414,0.432,25,19,43,43,12,16,11.0,-11.0,1
0022200057,2022-10-26,atlanta hawks,detroit pistons,118,113,0.495,0.462,22,23,46,40,12,13,5.0,-5.0,1
0022200058,2022-10-26,charlotte hornets,new york knicks,131,134,0.495,0.536,31,26,42,46,15,16,-3.0,3.0,0
0022200059,2022-10-26,philadelphia 76ers,toronto raptors,109,119,0.506,0.548,29,32,34,39,12,9,-10.0,10.0,0
0022200060,2022-10-26,brooklyn nets,milwaukee bucks,99,110,0.395,0.443,23,21,37,54,14,18,-11.0,11.0,0
0022200061,2022-10-26,chicago bulls,indiana pacers,124,109,0.494,0.43,34,31,44,38,17,16,15.0,-15.0,1
0022200062,2022-10-26,minnesota timberwolves,san antonio spurs,134,122,0.65,0.453,37,34,30,41,16,16,12.0,-12.0,1
0022200063,2022-10-26,houston rockets,utah jazz,101,109,0.383,0.422,19,28,49,53,19,15,-8.0,8.0,0
0022200064,2022-10-26,denver nuggets,los angeles lakers,110,99,0.457,0.444,34,25,54,47,11,14,11.0,-11.0,1
0022200065,2022-10-26,miami heat,portland trail blazers,119,98,0.506,0.436,34,20,46,38,16,19,21.0,-21.0,1
0022200066,2022-10-27,brooklyn nets,dallas mavericks,125,129,0.462,0.506,20,25,45,37,13,17,-4.0,4.0,0
0022200067,2022-10-27,la clippers,oklahoma city thunder,110,118,0.537,0.495,21,27,44,36,19,11,-8.0,8.0,0
0022200068,2022-10-27,golden state warriors,miami heat,123,110,0.5,0.443,30,25,50,31,19,12,13.0,-13.0,1
0022200069,2022-10-27,memphis grizzlies,sacramento kings,125,110,0.533,0.482,27,28,43,40,12,13,15.0,-15.0,1
0022200070,2022-10-28,atlanta hawks,detroit pistons,136,112,0.567,0.43,31,18,45,42,6,10,24.0,-24.0,1
0022200071,2022-10-28,charlotte hornets,orlando magic,93,113,0.384,0.494,21,28,47,48,14,12,-20.0,20.0,0
0022200072,2022-10-28,boston celtics,cleveland cavaliers,123,132,0.512,0.517,28,18,34,42,19,15,-9.0,9.0,0
0022200073,2022-10-28,philadelphia 76ers,toronto raptors,112,90,0.524,0.384,25,20,41,45,14,17,22.0,-22.0,1
0022200074,2022-10-28,indiana pacers,washington wizards,127,117,0.506,0.477,30,25,41,38,13,13,10.0,-10.0,1
0022200075,2022-10-28,milwaukee bucks,new york knicks,119,108,0.385,0.398,23,19,60,54,6,12,11.0,-11.0,1
0022200076,2022-10-28,los angeles lakers,minnesota timberwolves,102,111,0.416,0.414,20,27,55,49,22,10,-9.0,9.0,0
0022200077,2022-10-28,chicago bulls,san antonio spurs,124,129,0.475,0.535,20,37,42,42,12,20,-5.0,5.0,0
0022200078,2022-10-28,denver nuggets,utah jazz,117,101,0.459,0.418,18,24,58,38,12,9,16.0,-16.0,1
0022200079,2022-10-28,new orleans pelicans,phoenix suns,111,124,0.442,0.522,25,33,33,47,13,12,-13.0,13.0,0
0022200080,2022-10-28,houston rockets,portland trail blazers,111,125,0.426,0.533,23,30,39,45,15,15,-14.0,14.0,0
0022200081,2022-10-29,miami heat,sacramento kings,113,119,0.427,0.553,18,27,34,43,8,20,-6.0,6.0,0
0022200082,2022-10-29,charlotte hornets,golden state warriors,120,113,0.422,0.44,32,31,55,49,10,10,7.0,-7.0,1
0022200083,2022-10-29,brooklyn nets,indiana pacers,116,125,0.5,0.426,29,31,34,53,9,10,-9.0,9.0,0
0022200084,2022-10-29,chicago bulls,philadelphia 76ers,109,114,0.45,0.494,22,28,40,41,18,17,-5.0,5.0,0
0022200085,2022-10-29,atlanta hawks,milwaukee bucks,115,123,0.479,0.489,19,24,42,49,12,11,-5.0,8.0,0
0022200086,2022-10-29,dallas mavericks,oklahoma city thunder,111,117,0.4,0.494,17,25,49,47,16,15,-6.0,6.0,0
0022200087,2022-10-29,memphis grizzlies,utah jazz,123,124,0.568,0.517,24,30,40,34,20,19,-1.0,1.0,0
0022200088,2022-10-30,la clippers,new orleans pelicans,91,112,0.419,0.495,24,32,39,50,14,10,-21.0,21.0,0
0022200089,2022-10-30,boston celtics,washington wizards,112,94,0.456,0.388,29,22,47,51,13,8,18.0,-18.0,1
0022200090,2022-10-30,cleveland cavaliers,new york knicks,121,108,0.461,0.489,33,26,43,45,14,14,13.0,-13.0,1
0022200091,2022-10-30,detroit pistons,golden state warriors,128,114,0.482,0.424,24,23,47,42,15,14,14.0,-14.0,1
0022200092,2022-10-30,minnesota timberwolves,san antonio spurs,98,107,0.404,0.419,21,27,45,52,11,19,-9.0,9.0,0
0022200093,2022-10-30,dallas mavericks,orlando magic,114,105,0.494,0.457,15,20,37,47,4,12,9.0,-9.0,1
0022200094,2022-10-30,houston rockets,phoenix suns,109,124,0.437,0.536,18,29,49,36,15,11,-15.0,15.0,0
0022200095,2022-10-30,denver nuggets,los angeles lakers,110,121,0.427,0.479,24,24,48,51,9,8,-11.0,11.0,0
0022200096,2022-10-31,charlotte hornets,sacramento kings,108,115,0.512,0.435,31,26,38,42,20,19,-7.0,7.0,0
0022200097,2022-10-31,philadelphia 76ers,washington wizards,118,111,0.554,0.469,26,22,37,41,13,15,7.0,-7.0,1
0022200098,2022-10-31,brooklyn nets,indiana pacers,116,109,0.538,0.471,26,23,39,38,19,24,7.0,-7.0,1
0022200099,2022-10-31,atlanta hawks,toronto raptors,109,139,0.464,0.5,28,25,37,44,18,6,-30.0,30.0,0
0022200100,2022-10-31,detroit pistons,milwaukee bucks,108,110,0.446,0.437,19,20,43,50,12,16,-2.0,2.0,0
0022200101,2022-10-31,memphis grizzlies,utah jazz,105,121,0.413,0.472,14,26,52,48,16,15,-16.0,16.0,0
0022200102,2022-10-31,houston rockets,la clippers,93,95,0.386,0.425,17,23,44,46,13,13,-2.0,2.0,0
0022200103,2022-11-01,brooklyn nets,chicago bulls,99,108,0.486,0.438,27,20,38,44,18,9,-9.0,9.0,0
0022200104,2022-11-01,golden state warriors,miami heat,109,116,0.464,0.455,31,32,41,39,20,15,-7.0,7.0,0
0022200105,2022-11-01,oklahoma city thunder,orlando magic,116,108,0.474,0.448,28,20,36,49,15,24,8.0,-8.0,1
0022200106,2022-11-01,minnesota timberwolves,phoenix suns,107,116,0.425,0.461,24,31,42,34,16,9,-9.0,9.0,0
0022200107,2022-11-02,boston celtics,cleveland cavaliers,113,114,0.409,0.42,26,24,52,51,14,11,-1.0,1.0,0
0022200108,2022-11-02,philadelphia 76ers,washington wizards,111,121,0.464,0.577,25,27,32,43,8,7,-10.0,10.0,0
0022200109,2022-11-02,miami heat,sacramento kings,110,107,0.494,0.477,27,29,46,39,11,12,3.0,-3.0,1
0022200110,2022-11-02,atlanta hawks,new york knicks,112,99,0.411,0.411,28,23,51,52,7,16,13.0,-13.0,1
0022200111,2022-11-02,charlotte hornets,chicago bulls,88,106,0.391,0.432,22,28,47,51,16,19,-18.0,18.0,0
0022200112,2022-11-02,houston rockets,la clippers,101,109,0.42,0.488,17,20,50,43,19,14,-8.0,8.0,0
0022200113,2022-11-02,detroit pistons,milwaukee bucks,91,116,0.418,0.467,18,24,35,52,21,16,-25.0,25.0,0
0022200114,2022-11-02,san antonio spurs,toronto raptors,100,143,0.394,0.538,29,31,46,50,23,11,-43.0,43.0,0
0022200115,2022-11-02,dallas mavericks,utah jazz,103,100,0.5,0.464,20,28,37,40,11,16,3.0,-3.0,1
0022200116,2022-11-02,memphis grizzlies,portland trail blazers,111,106,0.458,0.404,28,27,46,46,14,20,5.0,-5.0,1
0022200117,2022-11-02,los angeles lakers,new orleans pelicans,120,117,0.459,0.461,30,35,56,51,17,13,3.0,-3.0,1
0022200118,2022-11-03,golden state warriors,orlando magic,129,130,0.515,0.538,31,20,35,46,14,19,-1.0,1.0,0
0022200119,2022-11-03,denver nuggets,oklahoma city thunder,122,110,0.536,0.484,32,19,47,40,18,10,12.0,-12.0,1
0022200120,2022-11-04,cleveland cavaliers,detroit pistons,112,88,0.543,0.373,30,16,47,34,18,18,24.0,-24.0,1
0022200121,2022-11-04,indiana pacers,miami heat,101,99,0.463,0.383,28,17,42,42,19,19,2.0,-2.0,1
0022200122,2022-11-04,new york knicks,philadelphia 76ers,106,104,0.463,0.378,24,27,50,44,21,15,2.0,-2.0,1
0022200123,2022-11-04,brooklyn nets,washington wizards,128,86,0.556,0.361,32,18,48,39,7,13,42.0,-42.0,1
0022200124,2022-11-04,boston celtics,chicago bulls,123,119,0.494,0.518,24,21,39,37,13,17,4.0,-4.0,1
0022200125,2022-11-04,charlotte hornets,memphis grizzlies,99,130,0.384,0.51,22,34,41,60,18,18,-31.0,31.0,0
0022200126,2022-11-04,la clippers,san antonio spurs,113,106,0.525,0.477,26,23,44,35,16,13,7.0,-7.0,1
0022200127,2022-11-04,dallas mavericks,toronto raptors,111,110,0.506,0.443,23,20,31,44,18,19,1.0,-1.0,1
0022200128,2022-11-04,golden state warriors,new orleans pelicans,105,114,0.493,0.506,23,24,29,37,22,15,-9.0,9.0,0
0022200129,2022-11-04,milwaukee bucks,minnesota timberwolves,115,102,0.482,0.424,29,22,51,47,13,16,13.0,-13.0,1
0022200130,2022-11-04,phoenix suns,portland trail blazers,106,108,0.434,0.506,26,30,39,42,17,17,-2.0,2.0,0
0022200131,2022-11-04,los angeles lakers,utah jazz,116,130,0.482,0.505,22,31,40,48,11,8,-14.0,14.0,0
