TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,5,3,2,0.6,48.0,39.2,86.0,0.456,12.4,37.6,0.33,17.0,22.4,0.759,10.2,35.0,45.2,25.8,21.0,11.2,3.2,6.6,18.6,20.0,107.8,-2.2,2,7,11,10,8,23,28,16,21,19,21,20,21,17,26,20,21,20,31,6,34,27,3,23,27,21,2023-24,1,Pre Season
1610612738,Boston Celtics,5,4,1,0.8,48.0,41.6,91.0,0.457,15.8,45.4,0.348,17.6,22.6,0.779,13.2,36.2,49.4,24.4,16.0,10.0,4.6,5.2,19.8,19.2,116.6,10.6,2,2,4,4,8,8,12,14,4,2,14,17,19,9,3,13,6,26,11,13,27,13,10,28,10,5,2023-24,1,Pre Season
15020,Breakers,2,0,2,0.0,48.0,27.5,78.5,0.35,7.0,34.5,0.203,18.0,22.0,0.818,7.0,28.0,35.0,15.0,21.0,11.0,6.5,7.0,22.0,23.0,80.0,-30.0,32,32,11,32,8,35,34,35,34,25,34,16,24,5,34,32,35,35,31,7,11,31,25,5,34,32,2023-24,1,Pre Season
1610612751,Brooklyn Nets,4,2,2,0.5,48.0,41.5,88.0,0.472,16.8,38.3,0.438,22.0,27.8,0.793,10.8,36.8,47.5,26.3,18.8,7.3,5.8,5.5,16.8,23.8,121.8,6.0,17,14,11,15,8,9,22,8,2,18,1,5,6,7,19,12,11,16,24,33,20,14,1,4,2,8,2023-24,1,Pre Season
1610612766,Charlotte Hornets,4,1,3,0.25,48.0,38.5,90.8,0.424,8.0,33.5,0.239,19.3,26.3,0.733,12.0,40.5,52.5,22.5,19.0,9.3,6.3,6.5,19.0,21.3,104.3,-9.0,17,23,23,24,8,26,15,30,32,30,33,10,11,24,8,1,1,30,27,20,13,24,4,16,29,29,2023-24,1,Pre Season
1610612741,Chicago Bulls,5,1,4,0.2,50.0,41.2,95.0,0.434,11.8,32.8,0.36,14.6,17.8,0.82,15.4,29.2,44.6,26.0,17.0,10.2,3.6,7.8,21.4,18.0,108.8,-4.2,2,23,33,30,1,15,1,25,24,31,11,30,32,4,1,31,22,18,16,12,31,33,20,33,23,26,2023-24,1,Pre Season
1610612739,Cleveland Cavaliers,4,1,3,0.25,48.0,39.3,85.8,0.458,14.5,41.8,0.347,16.0,20.3,0.79,6.8,37.8,44.5,28.0,20.5,9.3,6.5,4.0,21.5,18.3,109.0,5.5,17,23,23,24,8,22,31,13,9,8,16,25,27,8,35,7,23,9,29,20,11,4,22,32,22,9,2023-24,1,Pre Season
1610612742,Dallas Mavericks,4,1,3,0.25,48.0,38.5,93.8,0.411,15.3,44.5,0.343,15.8,23.3,0.677,10.3,35.8,46.0,22.8,15.0,9.0,7.0,8.8,19.3,21.3,108.0,-3.5,17,23,23,24,8,26,4,32,6,5,19,26,17,33,25,16,15,28,5,22,8,35,7,16,25,24,2023-24,1,Pre Season
1610612743,Denver Nuggets,5,3,2,0.6,50.0,40.8,86.2,0.473,13.8,39.2,0.352,16.8,22.2,0.757,9.2,31.2,40.4,28.4,16.6,9.8,6.0,3.6,20.6,20.2,112.2,2.6,2,7,11,10,1,17,26,5,13,13,13,22,23,19,31,28,31,6,14,16,14,3,14,22,17,16,2023-24,1,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,49.3,43.0,91.0,0.473,13.0,35.8,0.364,20.0,27.8,0.721,11.5,39.8,51.3,28.3,18.3,6.8,6.0,5.5,26.0,22.0,119.0,-2.3,17,14,11,15,3,3,12,7,19,23,8,7,6,27,12,2,4,8,22,35,14,14,34,10,6,22,2023-24,1,Pre Season
12325,Flamengo,1,0,1,0.0,48.0,30.0,72.0,0.417,9.0,29.0,0.31,7.0,10.0,0.7,11.0,25.0,36.0,17.0,27.0,10.0,2.0,4.0,26.0,15.0,76.0,-33.0,34,32,4,32,8,34,35,31,31,34,27,35,35,30,18,35,34,34,35,13,35,4,34,35,35,34,2023-24,1,Pre Season
1610612744,Golden State Warriors,5,4,1,0.8,47.7,41.4,87.2,0.475,14.8,38.4,0.385,19.6,25.8,0.76,10.6,38.2,48.8,27.0,18.2,8.6,4.6,6.2,21.0,19.4,117.2,3.8,2,2,4,4,34,11,24,4,7,17,5,9,13,16,21,5,8,11,19,26,27,20,16,25,9,13,2023-24,1,Pre Season
1610612745,Houston Rockets,5,4,1,0.8,48.0,38.8,89.2,0.435,10.0,33.6,0.298,23.2,30.4,0.763,11.8,38.8,50.6,24.6,16.4,13.2,4.8,6.4,23.4,24.8,110.8,10.8,2,2,4,4,8,25,19,24,30,29,30,3,3,14,10,4,5,25,12,1,25,22,32,2,19,4,2023-24,1,Pre Season
1610612754,Indiana Pacers,4,2,2,0.5,49.3,40.3,93.3,0.432,13.5,44.5,0.303,18.5,24.0,0.771,10.8,37.5,48.3,29.5,18.8,7.8,8.3,6.5,23.3,22.5,112.5,-3.8,17,14,11,15,3,19,6,27,15,5,29,13,16,10,19,8,9,4,24,31,2,24,31,7,16,25,2023-24,1,Pre Season
1610612746,LA Clippers,4,2,2,0.5,48.0,38.3,88.3,0.433,7.8,28.5,0.272,17.0,22.3,0.764,12.5,34.5,47.0,21.5,15.3,9.8,6.8,5.0,21.0,18.8,101.3,0.0,17,14,11,15,8,30,21,26,33,35,32,20,22,12,6,22,13,31,7,17,10,9,16,31,30,18,2023-24,1,Pre Season
1610612747,Los Angeles Lakers,6,2,4,0.333,46.9,39.0,86.0,0.453,13.0,36.0,0.361,17.2,24.8,0.691,7.8,35.0,42.8,23.3,17.7,9.7,7.3,4.7,21.0,22.0,108.2,-6.7,1,14,33,23,35,24,28,17,19,20,10,19,14,31,33,20,26,27,18,18,6,8,16,10,24,28,2023-24,1,Pre Season
50009,Maccabi Ra'anana,3,0,3,0.0,48.0,38.3,94.0,0.408,11.3,40.0,0.283,13.0,15.7,0.83,10.3,27.7,38.0,20.7,14.7,8.0,5.3,5.7,20.0,17.0,101.0,-30.0,31,32,23,32,8,29,2,33,27,11,31,33,34,2,24,33,33,32,4,30,22,17,12,34,31,32,2023-24,1,Pre Season
1610612763,Memphis Grizzlies,5,2,3,0.4,49.0,41.8,93.6,0.447,14.4,45.0,0.32,17.4,22.8,0.763,9.4,36.2,45.6,27.0,16.6,8.8,8.0,6.6,20.8,20.4,115.4,-1.2,2,14,23,20,5,7,5,20,10,4,25,18,18,14,29,13,19,11,14,25,3,27,15,20,11,19,2023-24,1,Pre Season
1610612748,Miami Heat,5,2,3,0.4,48.0,41.4,90.6,0.457,11.8,36.0,0.328,16.8,20.4,0.824,11.2,36.8,48.0,25.0,18.8,6.8,4.0,6.4,23.6,19.4,111.4,-2.6,2,14,23,20,8,11,16,15,24,20,23,22,26,3,16,11,10,23,26,34,30,22,33,25,18,23,2023-24,1,Pre Season
1610612749,Milwaukee Bucks,5,3,2,0.6,48.0,39.4,92.8,0.425,13.8,42.8,0.322,15.4,21.4,0.72,11.4,37.8,49.2,26.0,17.4,9.4,6.0,6.6,19.0,20.0,108.0,-1.4,2,7,11,10,8,21,9,29,13,7,24,27,25,28,14,6,7,18,17,19,14,27,4,23,25,20,2023-24,1,Pre Season
1610612750,Minnesota Timberwolves,5,5,0,1.0,48.0,43.4,88.4,0.491,15.8,38.8,0.407,15.0,19.6,0.765,10.6,35.4,46.0,31.2,18.2,7.4,5.8,5.6,21.8,20.4,117.6,13.0,2,1,1,1,8,2,20,2,4,14,2,28,30,11,21,18,15,1,19,32,18,16,24,20,8,3,2023-24,1,Pre Season
1610612740,New Orleans Pelicans,4,1,3,0.25,48.0,38.0,86.5,0.439,10.8,34.5,0.312,13.5,20.0,0.675,12.0,31.5,43.5,24.8,21.5,11.0,5.3,6.5,19.3,19.3,100.3,-10.8,17,23,23,24,8,31,25,23,29,25,26,32,28,34,8,26,24,24,33,7,23,24,7,27,32,31,2023-24,1,Pre Season
1610612752,New York Knicks,4,1,3,0.25,48.0,38.5,86.0,0.448,14.8,41.3,0.358,18.8,26.0,0.721,11.3,30.5,41.8,22.8,15.3,9.0,3.3,3.5,17.8,21.5,110.5,-10.0,17,23,23,24,8,26,28,19,8,10,12,12,12,26,15,29,30,28,7,22,33,2,2,15,20,30,2023-24,1,Pre Season
1610612760,Oklahoma City Thunder,5,2,3,0.4,48.0,42.4,91.0,0.466,14.0,38.6,0.363,21.6,29.2,0.74,10.4,35.2,45.6,28.6,14.4,8.2,4.4,6.2,19.8,20.6,120.4,3.4,2,14,23,20,8,6,12,11,11,15,9,6,4,23,23,19,19,5,2,28,29,20,10,18,4,14,2023-24,1,Pre Season
1610612753,Orlando Magic,4,3,1,0.75,48.0,38.0,85.5,0.444,13.3,40.0,0.331,18.5,24.5,0.755,9.3,33.3,42.5,26.8,15.5,12.3,7.5,4.3,19.3,22.3,107.8,10.3,17,7,4,8,8,31,33,22,16,11,20,13,15,20,30,24,28,14,10,5,5,6,7,9,28,6,2023-24,1,Pre Season
1610612755,Philadelphia 76ers,4,2,2,0.5,48.0,41.5,93.3,0.445,16.0,41.5,0.386,14.5,19.3,0.753,12.3,30.5,42.8,26.3,14.5,12.5,5.8,5.0,22.8,19.0,113.5,0.8,17,14,11,15,8,9,6,21,3,9,4,31,31,21,7,29,27,16,3,4,20,9,28,29,14,17,2023-24,1,Pre Season
1610612756,Phoenix Suns,5,4,1,0.8,49.0,41.4,88.0,0.47,12.4,32.4,0.383,24.6,30.8,0.799,11.6,34.2,45.8,27.0,18.6,10.4,5.0,6.6,21.4,26.0,119.8,8.2,2,2,4,4,5,11,22,9,21,33,6,1,2,6,11,23,17,11,23,11,24,27,20,1,5,7,2023-24,1,Pre Season
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,43.0,89.3,0.482,11.8,34.3,0.343,16.3,22.5,0.722,11.5,31.5,43.0,25.3,19.8,12.8,4.8,5.0,22.5,20.5,114.0,3.3,17,23,23,24,8,3,18,3,26,27,18,24,20,25,12,26,25,22,28,2,26,9,27,19,12,15,2023-24,1,Pre Season
12315,Real Madrid,1,1,0,1.0,48.0,44.0,94.0,0.468,20.0,51.0,0.392,19.0,29.0,0.655,15.0,37.0,52.0,28.0,15.0,9.0,9.0,6.0,22.0,24.0,127.0,4.0,34,23,1,1,8,1,2,10,1,1,3,11,5,35,2,10,2,9,5,22,1,19,25,3,1,12,2023-24,1,Pre Season
1610612758,Sacramento Kings,5,1,4,0.2,49.0,40.2,93.2,0.431,14.0,45.2,0.31,14.8,20.0,0.74,9.6,32.4,42.0,28.4,15.4,8.2,5.8,2.8,22.8,21.6,109.2,-5.0,2,23,33,30,5,20,8,28,11,3,28,29,28,22,28,25,29,6,9,28,18,1,29,14,21,27,2023-24,1,Pre Season
1610612759,San Antonio Spurs,5,3,2,0.6,48.0,41.2,89.8,0.459,13.2,35.8,0.369,18.2,26.6,0.684,10.2,35.6,45.8,29.6,16.4,10.0,7.6,4.6,19.0,21.8,113.8,4.8,2,7,11,10,8,15,17,12,18,22,7,15,8,32,26,17,17,3,12,13,4,7,4,12,13,10,2023-24,1,Pre Season
