TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2022-23,1,1610612737.0,4.0,2.0,2.0,0.5,48.0,40.8,87.3,0.467,11.8,29.8,0.395,19.5,24.8,0.788,8.8,35.8,44.5,23.0,12.8,5.3,3.8,4.3,20.3,24.5,112.8,1.0,14.0,14.0,13.0,15.0,3.0,14.0,20.0,7.0,16.0,29.0,4.0,16.0,18.0,10.0,27.0,14.0,22.0,23.0,1.0,30.0,29.0,7.0,2.0,8.0,17.0,17.0,Pre Season,1610612737.0,4.0,2.0,2.0,0.5,192.0,110.4,110.3,107.6,109.3,2.8,1.0,0.564,1.8,16.9,0.228,0.708,0.477,0.125,0.534,0.574,103.0,102.25,85.21,409.0,0.509,14.0,14.0,13.0,15.0,15.0,10.0,24.0,17.0,29.0,4.0,19.0,27.0,21.0,26.0,1.0,9.0,9.0,26.0,16.0,Pre Season
boston celtics,2022-23,1,1610612738.0,4.0,2.0,2.0,0.5,50.5,42.8,90.8,0.471,19.0,49.3,0.386,20.3,24.5,0.827,9.8,40.8,50.5,31.0,18.5,4.3,3.8,5.0,25.3,21.3,124.8,10.3,14.0,14.0,13.0,15.0,1.0,3.0,10.0,5.0,1.0,1.0,7.0,11.0,20.0,4.0,21.0,2.0,3.0,1.0,21.0,32.0,29.0,13.0,28.0,23.0,1.0,6.0,Pre Season,1610612738.0,4.0,2.0,2.0,0.5,202.0,113.1,115.5,103.1,105.0,10.0,10.5,0.725,1.68,20.3,0.265,0.67,0.492,0.171,0.576,0.614,105.2,103.13,85.94,432.0,0.557,14.0,14.0,13.0,15.0,14.0,3.0,16.0,6.0,1.0,8.0,1.0,24.0,28.0,18.0,19.0,3.0,3.0,21.0,6.0,Pre Season
brooklyn nets,2022-23,1,1610612751.0,4.0,2.0,2.0,0.5,48.0,36.3,81.0,0.448,9.8,31.5,0.31,19.5,26.5,0.736,8.3,36.0,44.3,23.8,21.0,9.8,5.8,4.0,23.3,22.5,101.8,-7.0,14.0,14.0,13.0,15.0,3.0,26.0,31.0,14.0,27.0,25.0,22.0,16.0,11.0,23.0,28.0,12.0,24.0,20.0,32.0,12.0,13.0,5.0,19.0,17.0,27.0,24.0,Pre Season,1610612751.0,4.0,2.0,2.0,0.5,192.0,96.5,97.6,101.6,104.1,-5.1,-6.5,0.655,1.13,17.1,0.222,0.696,0.477,0.201,0.508,0.549,106.2,104.38,86.98,417.0,0.468,14.0,14.0,13.0,15.0,15.0,27.0,14.0,22.0,11.0,30.0,16.0,28.0,24.0,24.0,32.0,19.0,19.0,15.0,24.0,Pre Season
charlotte hornets,2022-23,1,1610612766.0,5.0,0.0,5.0,0.0,48.0,36.8,92.4,0.398,7.2,31.4,0.229,18.0,26.0,0.692,14.2,33.2,47.4,18.4,16.6,8.6,6.2,5.2,21.0,23.2,98.8,-17.8,3.0,29.0,30.0,29.0,3.0,23.0,5.0,30.0,32.0,26.0,32.0,22.0,13.0,28.0,2.0,24.0,10.0,32.0,12.0,17.0,7.0,16.0,7.0,11.0,31.0,31.0,Pre Season,1610612766.0,5.0,0.0,5.0,0.0,240.0,93.0,94.6,108.5,111.5,-15.5,-16.8,0.5,1.11,13.1,0.292,0.731,0.489,0.159,0.437,0.476,106.8,104.5,87.08,522.0,0.386,3.0,29.0,30.0,29.0,4.0,30.0,27.0,31.0,31.0,31.0,31.0,15.0,12.0,20.0,13.0,32.0,32.0,14.0,31.0,Pre Season
chicago bulls,2022-23,1,1610612741.0,4.0,3.0,1.0,0.75,48.0,46.5,87.8,0.53,11.8,29.5,0.398,19.8,23.5,0.84,9.5,37.3,46.8,30.0,20.0,8.3,5.0,5.5,22.8,22.5,124.5,13.5,14.0,8.0,3.0,8.0,3.0,1.0,18.0,1.0,16.0,30.0,3.0,14.0,27.0,3.0,23.0,8.0,15.0,2.0,29.0,23.0,17.0,19.0,13.0,17.0,2.0,3.0,Pre Season,1610612741.0,4.0,3.0,1.0,0.75,192.0,114.7,116.4,101.6,103.7,13.0,12.6,0.645,1.5,20.0,0.299,0.719,0.534,0.187,0.597,0.635,108.9,107.0,89.17,428.0,0.585,14.0,8.0,3.0,8.0,15.0,2.0,13.0,3.0,14.0,13.0,2.0,12.0,17.0,4.0,25.0,1.0,1.0,4.0,3.0,Pre Season
cleveland cavaliers,2022-23,1,1610612739.0,4.0,1.0,3.0,0.25,48.0,37.8,85.5,0.442,12.0,30.8,0.39,18.0,24.3,0.742,9.3,34.8,44.0,22.5,15.5,7.5,6.3,7.0,22.0,20.5,105.5,-4.3,14.0,20.0,24.0,23.0,3.0,20.0,23.0,18.0,15.0,28.0,5.0,22.0,22.0,20.0,25.0,19.0,25.0,25.0,9.0,27.0,5.0,27.0,10.0,26.0,23.0,21.0,Pre Season,1610612739.0,4.0,1.0,3.0,0.25,192.0,103.0,104.2,107.9,108.7,-4.9,-4.5,0.596,1.45,16.5,0.248,0.682,0.47,0.153,0.512,0.549,102.0,101.13,84.27,405.0,0.476,14.0,20.0,24.0,23.0,15.0,21.0,22.0,21.0,27.0,15.0,22.0,26.0,26.0,27.0,9.0,17.0,20.0,28.0,22.0,Pre Season
dallas mavericks,2022-23,1,1610612742.0,3.0,2.0,1.0,0.667,48.0,36.0,82.7,0.435,15.7,45.0,0.348,18.3,23.7,0.775,6.0,32.3,38.3,24.3,17.0,12.0,5.0,3.7,23.0,22.3,106.0,3.7,28.0,14.0,3.0,11.0,3.0,27.0,30.0,21.0,4.0,2.0,13.0,20.0,26.0,14.0,32.0,28.0,31.0,16.0,16.0,3.0,17.0,3.0,16.0,19.0,21.0,12.0,Pre Season,1610612742.0,3.0,2.0,1.0,0.667,144.0,101.8,102.3,97.5,98.7,4.4,3.5,0.676,1.43,17.9,0.167,0.689,0.429,0.164,0.53,0.569,104.5,103.67,86.39,311.0,0.517,28.0,14.0,3.0,11.0,28.0,24.0,2.0,12.0,6.0,18.0,12.0,32.0,25.0,31.0,16.0,10.0,11.0,17.0,14.0,Pre Season
denver nuggets,2022-23,1,1610612743.0,5.0,3.0,2.0,0.6,48.0,40.0,84.4,0.474,10.8,30.8,0.351,22.4,29.8,0.752,9.4,32.8,42.2,25.2,17.6,8.2,3.8,5.6,20.8,25.8,113.2,-1.8,3.0,8.0,13.0,12.0,3.0,15.0,26.0,4.0,20.0,27.0,10.0,6.0,5.0,19.0,24.0,25.0,27.0,13.0,17.0,25.0,28.0,21.0,6.0,4.0,14.0,18.0,Pre Season,1610612743.0,5.0,3.0,2.0,0.6,240.0,107.1,109.7,109.8,111.0,-2.7,-1.3,0.63,1.43,17.7,0.285,0.76,0.516,0.171,0.538,0.58,105.2,103.4,86.17,516.0,0.484,3.0,8.0,13.0,12.0,4.0,11.0,26.0,18.0,17.0,17.0,13.0,16.0,6.0,10.0,18.0,7.0,8.0,19.0,20.0,Pre Season
detroit pistons,2022-23,1,1610612765.0,4.0,0.0,4.0,0.0,48.0,34.8,88.3,0.394,13.5,44.8,0.302,18.8,24.0,0.781,11.0,35.5,46.5,22.5,19.5,4.8,5.5,6.3,26.0,19.3,101.8,-14.5,14.0,29.0,27.0,29.0,3.0,30.0,17.0,32.0,11.0,3.0,23.0,19.0,23.0,12.0,17.0,16.0,17.0,25.0,27.0,31.0,14.0,26.0,29.0,30.0,27.0,29.0,Pre Season,1610612765.0,4.0,0.0,4.0,0.0,192.0,94.8,97.6,109.1,111.8,-14.3,-14.2,0.647,1.15,15.9,0.271,0.729,0.491,0.187,0.47,0.515,106.9,104.13,86.77,417.0,0.389,14.0,29.0,27.0,29.0,15.0,27.0,29.0,29.0,12.0,27.0,26.0,22.0,13.0,19.0,26.0,27.0,27.0,16.0,30.0,Pre Season
golden state warriors,2022-23,1,1610612744.0,4.0,2.0,2.0,0.5,48.0,41.5,88.8,0.468,14.0,40.5,0.346,20.0,26.0,0.769,11.5,34.0,45.5,29.0,17.8,9.5,4.0,3.3,26.8,23.0,117.0,8.0,14.0,14.0,13.0,15.0,3.0,9.0,15.0,6.0,8.0,7.0,15.0,13.0,13.0,15.0,15.0,22.0,19.0,3.0,18.0,14.0,27.0,2.0,30.0,12.0,6.0,9.0,Pre Season,1610612744.0,4.0,2.0,2.0,0.5,192.0,109.9,113.0,104.2,106.3,5.7,6.7,0.699,1.63,19.5,0.319,0.717,0.515,0.171,0.546,0.584,105.5,103.0,85.83,414.0,0.539,14.0,14.0,13.0,15.0,15.0,5.0,17.0,9.0,3.0,10.0,3.0,5.0,19.0,11.0,20.0,6.0,5.0,22.0,11.0,Pre Season
