TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season,Month,SeasonType
1610612737,Atlanta Hawks,4,2,2,0.5,48.0,38.0,90.5,0.42,12.8,35.3,0.362,14.5,17.5,0.829,9.3,36.0,45.3,25.3,15.8,10.0,5.0,6.5,20.0,19.3,103.3,2.5,10,13,10,12,4,20,14,25,13,18,10,19,25,4,19,19,20,10,8,9,17,22,13,18,24,13,2021-22,1,Pre Season
1610612738,Boston Celtics,4,2,2,0.5,48.0,36.3,86.0,0.422,14.5,40.0,0.363,16.3,19.5,0.833,9.0,36.3,45.3,22.8,17.8,8.5,5.8,6.8,18.3,19.0,103.3,-4.8,10,13,10,12,4,27,25,23,7,8,8,13,17,3,20,16,20,20,19,18,13,25,6,19,24,18,2021-22,1,Pre Season
1610612751,Brooklyn Nets,4,3,1,0.75,48.0,40.8,83.3,0.489,13.8,33.8,0.407,18.0,23.5,0.766,9.0,34.8,43.8,22.3,19.3,9.3,5.0,4.3,21.8,22.0,113.3,6.3,10,7,6,7,4,12,28,1,11,22,1,5,5,12,20,24,27,23,25,13,17,4,21,5,9,10,2021-22,1,Pre Season
1610612766,Charlotte Hornets,4,1,3,0.25,48.0,35.8,89.5,0.399,8.5,32.5,0.262,13.3,19.3,0.688,11.0,34.3,45.3,21.3,19.3,9.0,5.5,6.0,20.8,21.0,93.3,-20.8,10,20,18,20,4,29,17,29,30,26,29,23,19,27,10,27,20,27,25,15,15,18,18,11,29,29,2021-22,1,Pre Season
1610612741,Chicago Bulls,4,4,0,1.0,48.0,44.8,97.3,0.46,11.5,31.8,0.362,17.0,20.8,0.819,11.5,41.0,52.5,28.0,12.8,12.5,6.5,6.0,20.3,18.3,118.0,21.5,10,3,1,1,4,1,1,6,23,28,9,7,13,5,8,2,2,3,2,4,6,18,15,23,2,2,2021-22,1,Pre Season
1610612739,Cleveland Cavaliers,5,2,3,0.4,48.0,36.8,82.8,0.444,10.6,30.6,0.346,16.8,25.6,0.656,8.8,34.6,43.4,24.0,19.8,10.2,4.8,6.6,16.6,23.2,101.0,-5.4,4,13,18,19,4,24,29,13,25,30,14,9,3,30,24,25,28,13,27,8,20,24,2,3,26,20,2021-22,1,Pre Season
1610612742,Dallas Mavericks,4,4,0,1.0,48.0,44.8,94.3,0.475,12.5,37.0,0.338,16.5,22.5,0.733,14.3,42.8,57.0,29.8,13.0,9.8,6.5,4.5,20.3,20.8,118.5,24.3,10,3,1,1,4,1,6,5,16,14,21,12,9,20,1,1,1,2,3,12,6,9,15,13,1,1,2021-22,1,Pre Season
1610612743,Denver Nuggets,5,1,4,0.2,50.0,38.6,89.2,0.433,15.6,45.2,0.345,15.6,21.0,0.743,8.2,36.6,44.8,24.8,16.8,8.0,6.8,4.4,21.8,20.6,108.4,-1.6,4,20,26,26,1,17,19,19,4,5,16,16,12,16,30,15,25,12,15,22,4,8,25,14,16,16,2021-22,1,Pre Season
1610612765,Detroit Pistons,4,2,2,0.5,48.0,38.3,84.0,0.455,9.8,31.5,0.31,18.5,23.3,0.796,9.0,34.3,43.3,22.5,17.0,6.5,6.3,5.0,18.0,21.8,104.8,-7.3,10,13,10,12,4,19,27,7,28,29,24,3,6,7,20,27,29,21,16,29,10,12,4,8,20,22,2021-22,1,Pre Season
1610612744,Golden State Warriors,5,5,0,1.0,48.0,42.4,95.8,0.443,18.4,53.2,0.346,14.8,19.8,0.747,10.0,37.8,47.8,29.8,15.8,13.4,4.4,5.0,19.2,20.8,118.0,11.4,4,1,1,1,4,6,2,16,1,1,15,18,16,14,13,11,9,1,10,2,25,12,10,12,2,5,2021-22,1,Pre Season
