TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season,Month,SeasonType
15019,Adelaide 36ers,1,0,1,0.0,48.0,73.7,75.0,118.1,122.0,-44.4,-47.0,0.471,0.73,12.1,0.158,0.653,0.387,0.204,0.416,0.432,111.2,108.5,90.42,108,0.219,35,31,5,31,35,38,36,36,37,35,37,38,36,38,32,38,38,10,38,2019-20,1,Pre Season
1610612737,Atlanta Hawks,5,1,4,0.2,240.0,88.4,91.0,103.1,105.7,-14.7,-14.7,0.673,1.02,16.0,0.252,0.708,0.478,0.212,0.463,0.497,108.0,105.1,87.58,524,0.412,3,26,36,28,4,32,24,30,8,31,26,20,28,28,35,35,34,22,30,2019-20,1,Pre Season
1610612738,Boston Celtics,4,4,0,1.0,192.0,104.8,108.0,82.7,84.7,22.1,23.4,0.584,1.18,17.1,0.318,0.718,0.528,0.2,0.554,0.576,105.4,102.63,85.52,410,0.662,22,3,1,1,23,8,1,1,27,22,15,3,25,7,29,6,8,31,1,2019-20,1,Pre Season
1610612751,Brooklyn Nets,4,3,1,0.75,192.0,106.3,106.9,92.4,95.5,13.9,11.4,0.677,1.34,18.4,0.276,0.71,0.507,0.19,0.563,0.586,106.9,104.88,87.4,420,0.582,22,7,5,7,23,9,6,5,7,10,7,14,27,17,22,3,5,24,4,2019-20,1,Pre Season
12330,Buenos Aires San Lorenzo,1,0,1,0.0,48.0,86.4,89.0,118.2,118.8,-31.8,-29.8,0.486,0.63,13.3,0.244,0.727,0.483,0.27,0.5,0.53,102.2,100.5,83.75,100,0.315,35,31,5,31,35,33,34,33,36,36,35,25,20,24,37,18,25,37,33,2019-20,1,Pre Season
1610612766,Charlotte Hornets,5,1,4,0.2,240.0,97.0,97.7,98.1,100.2,-1.1,-2.5,0.626,1.1,16.8,0.248,0.737,0.495,0.204,0.506,0.547,107.4,105.8,88.17,529,0.492,3,26,36,28,4,26,16,24,17,29,20,23,18,21,34,16,16,20,21,2019-20,1,Pre Season
1610612741,Chicago Bulls,5,2,3,0.4,240.0,99.3,101.3,98.1,100.4,1.2,0.9,0.628,1.45,16.9,0.284,0.754,0.5,0.161,0.483,0.512,109.2,106.9,89.08,533,0.479,3,16,24,19,4,19,17,18,16,4,17,11,11,18,3,29,32,17,25,2019-20,1,Pre Season
1610612739,Cleveland Cavaliers,4,1,3,0.25,192.0,94.5,95.6,104.0,106.1,-9.5,-10.5,0.521,0.94,13.9,0.246,0.736,0.48,0.193,0.494,0.531,104.0,102.38,85.31,410,0.424,22,26,24,26,23,30,25,29,34,34,34,24,19,26,25,22,23,33,29,2019-20,1,Pre Season
1610612742,Dallas Mavericks,5,2,3,0.4,240.0,98.7,101.7,96.7,97.9,2.0,3.8,0.68,1.21,16.7,0.297,0.811,0.547,0.192,0.497,0.543,108.4,106.1,88.42,532,0.518,3,16,24,19,4,17,11,10,6,21,21,7,1,2,23,21,19,18,14,2019-20,1,Pre Season
1610612743,Denver Nuggets,4,4,0,1.0,192.0,99.6,100.7,90.2,91.8,9.4,8.9,0.613,1.15,16.9,0.269,0.779,0.534,0.198,0.519,0.559,108.5,107.0,89.17,430,0.562,22,3,1,1,23,22,3,7,22,24,16,15,6,4,27,14,14,16,5,2019-20,1,Pre Season
1610612765,Detroit Pistons,5,3,2,0.6,240.0,97.8,101.2,106.2,106.6,-8.4,-5.4,0.654,1.4,17.3,0.293,0.771,0.519,0.171,0.484,0.523,105.8,103.9,86.58,520,0.47,3,7,13,9,4,20,26,27,12,8,14,9,8,11,9,28,30,29,27,2019-20,1,Pre Season
1610612744,Golden State Warriors,5,2,3,0.4,240.0,102.1,103.7,104.3,106.8,-2.3,-3.1,0.585,1.17,15.0,0.297,0.673,0.48,0.174,0.482,0.54,110.2,108.1,90.08,539,0.476,3,16,24,19,4,13,28,25,26,23,29,6,34,27,13,31,20,12,26,2019-20,1,Pre Season
15018,Guangzhou Long-Lions,2,0,2,0.0,96.0,90.5,91.1,138.4,139.1,-47.9,-48.0,0.419,0.59,10.7,0.159,0.67,0.427,0.218,0.493,0.546,101.6,101.0,84.17,202,0.24,32,31,13,31,32,31,38,38,38,37,38,37,35,36,36,24,17,36,36,2019-20,1,Pre Season
93,Haifa Maccabi Haifa,3,0,3,0.0,144.0,84.8,87.7,121.1,120.9,-36.3,-33.2,0.551,1.0,14.2,0.209,0.641,0.402,0.184,0.447,0.474,99.8,98.17,81.81,293,0.289,31,31,24,31,31,34,35,34,32,32,33,31,38,37,18,36,37,38,34,2019-20,1,Pre Season
1610612745,Houston Rockets,5,3,2,0.6,240.0,108.0,110.0,106.1,107.9,1.9,2.2,0.567,1.15,15.2,0.287,0.704,0.489,0.177,0.537,0.58,113.6,111.6,93.0,558,0.483,3,7,13,9,4,4,30,15,30,25,28,10,30,22,16,8,6,3,24,2019-20,1,Pre Season
1610612754,Indiana Pacers,4,3,1,0.75,197.0,102.7,105.5,95.5,97.6,7.1,7.9,0.661,1.26,18.5,0.295,0.739,0.529,0.201,0.536,0.577,113.2,110.5,92.08,453,0.557,22,7,5,7,22,11,10,8,11,16,5,8,17,6,30,9,7,6,8,2019-20,1,Pre Season
1610612746,LA Clippers,5,2,3,0.4,240.0,94.3,96.3,92.7,93.7,1.6,2.6,0.706,1.47,18.6,0.226,0.718,0.46,0.173,0.492,0.518,110.0,108.2,90.17,539,0.511,3,16,24,19,4,29,4,14,2,3,2,30,23,32,11,25,31,11,16,2019-20,1,Pre Season
1610612747,Los Angeles Lakers,6,3,3,0.5,288.0,98.9,102.1,96.7,98.6,2.2,3.5,0.685,1.25,17.8,0.328,0.698,0.513,0.201,0.504,0.54,107.8,105.08,87.57,631,0.523,1,7,24,14,1,15,13,12,5,18,11,2,31,12,31,17,21,23,12,2019-20,1,Pre Season
15016,Melbourne United,2,0,2,0.0,96.0,96.0,97.2,110.3,113.1,-14.3,-15.9,0.573,1.0,14.9,0.299,0.745,0.507,0.199,0.483,0.528,109.6,107.5,89.58,216,0.395,32,31,13,31,32,27,33,31,29,32,30,4,14,16,28,30,27,13,31,2019-20,1,Pre Season
1610612763,Memphis Grizzlies,5,3,2,0.6,240.0,101.0,101.5,96.3,98.3,4.7,3.2,0.591,1.43,16.2,0.251,0.799,0.524,0.153,0.488,0.529,108.4,107.1,89.25,537,0.543,3,7,13,9,4,18,12,13,24,6,24,22,3,9,2,26,26,14,9,2019-20,1,Pre Season
1610612748,Miami Heat,5,4,1,0.8,240.0,105.9,108.1,96.4,97.2,9.5,10.9,0.582,1.27,17.7,0.277,0.798,0.546,0.19,0.562,0.591,107.4,105.9,88.25,532,0.56,3,3,5,5,4,7,8,6,28,15,12,12,4,3,20,4,4,19,6,2019-20,1,Pre Season
1610612749,Milwaukee Bucks,5,5,0,1.0,240.0,109.3,108.8,93.3,95.1,16.0,13.7,0.622,1.26,18.5,0.182,0.742,0.511,0.192,0.597,0.632,111.8,111.0,92.5,557,0.617,3,1,1,1,4,6,5,3,20,17,4,35,16,14,24,1,1,4,3,2019-20,1,Pre Season
1610612750,Minnesota Timberwolves,5,2,3,0.4,240.0,100.5,101.8,103.1,103.7,-2.6,-2.0,0.622,1.33,16.7,0.298,0.779,0.52,0.173,0.494,0.531,113.8,112.8,94.0,565,0.487,3,16,24,19,4,16,22,23,21,11,22,5,7,10,12,23,24,2,23,2019-20,1,Pre Season
1610612740,New Orleans Pelicans,5,5,0,1.0,240.0,112.4,114.2,105.4,106.7,6.9,7.5,0.589,1.42,17.8,0.251,0.759,0.508,0.169,0.579,0.611,111.9,110.4,92.0,550,0.532,3,1,1,1,4,1,27,9,25,7,10,21,10,15,6,2,2,7,11,2019-20,1,Pre Season
1610612752,New York Knicks,4,1,3,0.25,192.0,97.3,98.8,100.0,103.1,-2.7,-4.3,0.623,1.3,16.2,0.239,0.745,0.499,0.167,0.486,0.526,107.2,104.75,87.29,420,0.49,22,26,24,26,23,25,19,26,18,14,25,27,15,20,5,27,29,25,22,2019-20,1,Pre Season
15020,New Zealand Breakers,2,0,2,0.0,96.0,85.8,87.7,106.2,107.4,-20.4,-19.7,0.529,1.06,14.2,0.196,0.716,0.441,0.172,0.465,0.483,103.2,101.5,84.58,203,0.349,32,31,13,31,32,35,29,32,33,30,32,33,26,33,10,34,35,35,32,2019-20,1,Pre Season
1610612760,Oklahoma City Thunder,4,2,2,0.5,192.0,99.3,100.7,98.4,99.8,0.9,1.0,0.503,1.13,14.7,0.186,0.725,0.467,0.166,0.515,0.546,105.8,104.38,86.98,415,0.499,22,16,13,14,23,21,15,17,35,26,31,34,21,30,4,15,18,27,18,2019-20,1,Pre Season
1610612753,Orlando Magic,6,3,3,0.5,288.0,95.0,96.6,92.8,95.7,2.2,0.9,0.643,1.32,16.8,0.268,0.673,0.464,0.174,0.475,0.505,106.9,104.42,87.01,625,0.497,1,7,24,14,1,28,7,19,13,12,18,16,33,31,14,33,33,26,19,2019-20,1,Pre Season
1610612755,Philadelphia 76ers,5,4,1,0.8,240.0,110.0,111.8,88.5,91.7,21.5,20.1,0.671,1.54,19.0,0.347,0.747,0.554,0.177,0.534,0.572,104.2,101.6,84.67,509,0.641,3,3,5,5,4,2,2,2,9,2,1,1,12,1,15,11,10,34,2,2019-20,1,Pre Season
1610612756,Phoenix Suns,4,2,2,0.5,192.0,97.7,99.5,97.3,99.5,0.4,0.0,0.631,1.11,16.3,0.244,0.706,0.474,0.195,0.497,0.551,111.7,109.38,91.15,437,0.505,22,16,13,14,23,23,14,20,15,28,23,26,29,29,26,20,15,9,17,2019-20,1,Pre Season
1610612757,Portland Trail Blazers,5,2,3,0.4,240.0,103.8,104.8,101.5,103.3,2.3,1.5,0.553,1.11,15.9,0.263,0.765,0.525,0.19,0.536,0.571,105.3,103.9,86.58,521,0.522,3,16,24,19,4,12,20,16,31,27,27,18,9,8,21,10,11,29,13,2019-20,1,Pre Season
12332,SESI/Franca Basketball Club of Brazil,1,0,1,0.0,48.0,84.3,86.4,137.8,134.3,-53.5,-47.9,0.743,1.24,18.4,0.236,0.69,0.433,0.204,0.478,0.481,102.5,102.5,85.42,103,0.225,35,31,5,31,35,36,37,37,1,20,6,28,32,35,33,32,36,32,37,2019-20,1,Pre Season
1610612758,Sacramento Kings,5,3,2,0.6,245.0,102.7,106.5,101.0,102.9,1.7,3.6,0.623,1.25,16.8,0.267,0.718,0.488,0.183,0.523,0.569,112.5,109.42,91.18,558,0.492,3,7,13,9,3,10,18,11,19,19,19,17,24,23,17,12,12,8,20,2019-20,1,Pre Season
1610612759,San Antonio Spurs,5,2,3,0.4,240.0,97.7,99.2,104.3,105.7,-6.7,-6.4,0.642,1.36,17.4,0.206,0.747,0.481,0.17,0.498,0.54,107.3,105.8,88.17,528,0.469,3,16,24,19,4,24,23,28,14,9,13,32,13,25,8,19,22,20,28,2019-20,1,Pre Season
12329,Shanghai Sharks,1,0,1,0.0,48.0,78.7,77.0,109.8,112.4,-31.1,-35.4,0.692,0.53,12.9,0.182,0.648,0.439,0.301,0.446,0.527,113.1,113.0,94.17,113,0.255,35,31,5,31,35,37,32,35,4,38,36,35,37,34,38,37,28,1,35,2019-20,1,Pre Season
1610612761,Toronto Raptors,4,2,2,0.5,192.0,101.6,103.1,101.5,103.6,0.1,-0.5,0.701,1.31,18.0,0.276,0.725,0.513,0.189,0.52,0.561,113.0,111.0,92.5,445,0.535,22,16,13,14,23,14,21,21,3,13,8,13,22,13,19,13,13,4,10,2019-20,1,Pre Season
1610612762,Utah Jazz,5,1,4,0.2,240.0,108.9,110.4,108.9,111.4,0.0,-1.0,0.596,1.43,18.0,0.252,0.81,0.529,0.17,0.56,0.593,109.1,107.1,89.25,536,0.513,3,26,36,28,4,3,31,22,23,5,9,19,2,5,7,5,3,14,15,2019-20,1,Pre Season
1610612764,Washington Wizards,5,3,2,0.6,240.0,107.8,109.8,97.1,97.5,10.7,12.3,0.667,1.69,18.5,0.232,0.783,0.5,0.15,0.546,0.575,105.4,104.2,86.83,520,0.559,3,7,13,9,4,5,9,4,10,1,3,29,5,18,1,7,9,28,7,2019-20,1,Pre Season
