TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
houston rockets,2021-22,1,1610612745.0,4.0,1.0,3.0,0.25,48.0,36.8,87.3,0.421,10.3,34.5,0.297,21.5,32.8,0.656,12.5,38.0,50.5,21.0,20.3,8.0,4.5,5.8,22.8,29.0,105.3,-11.0,10.0,20.0,18.0,20.0,4.0,25.0,23.0,24.0,26.0,20.0,28.0,2.0,1.0,29.0,5.0,8.0,4.0,29.0,29.0,22.0,23.0,15.0,29.0,1.0,19.0,25.0,Pre Season,1610612745.0,4.0,1.0,3.0,0.25,192.0,96.2,98.4,106.7,107.6,-10.5,-9.3,0.571,1.04,14.7,0.277,0.743,0.502,0.189,0.48,0.518,109.2,107.5,89.58,428.0,0.444,10.0,20.0,18.0,20.0,12.0,23.0,20.0,25.0,25.0,29.0,29.0,10.0,16.0,12.0,28.0,26.0,26.0,3.0,25.0,Pre Season
indiana pacers,2021-22,1,1610612754.0,4.0,2.0,2.0,0.5,48.0,39.8,89.8,0.443,11.5,38.0,0.303,13.0,18.3,0.712,10.3,36.3,46.5,25.0,16.5,9.0,6.5,4.3,20.3,15.3,104.0,-6.5,10.0,13.0,10.0,12.0,4.0,16.0,16.0,15.0,23.0,11.0,26.0,24.0,23.0,23.0,12.0,16.0,15.0,11.0,13.0,15.0,6.0,4.0,15.0,30.0,21.0,21.0,Pre Season,1610612754.0,4.0,2.0,2.0,0.5,192.0,100.0,102.7,105.8,109.4,-5.8,-6.7,0.629,1.52,17.8,0.283,0.746,0.508,0.163,0.507,0.532,104.2,101.13,84.27,405.0,0.47,10.0,13.0,10.0,12.0,12.0,18.0,25.0,21.0,7.0,12.0,8.0,9.0,13.0,9.0,15.0,20.0,22.0,25.0,23.0,Pre Season
la clippers,2021-22,1,1610612746.0,4.0,1.0,3.0,0.25,48.0,37.8,90.8,0.416,10.0,32.5,0.308,18.3,23.3,0.785,11.8,36.0,47.8,25.5,18.5,6.8,6.5,8.0,21.8,22.0,103.8,-12.5,10.0,20.0,18.0,20.0,4.0,21.0,13.0,27.0,27.0,26.0,25.0,4.0,6.0,10.0,7.0,19.0,10.0,8.0,23.0,27.0,6.0,29.0,21.0,5.0,22.0,26.0,Pre Season,1610612746.0,4.0,1.0,3.0,0.25,192.0,96.3,98.1,108.1,109.2,-11.8,-11.0,0.675,1.38,17.5,0.256,0.718,0.482,0.175,0.471,0.514,107.6,106.13,88.44,423.0,0.428,10.0,20.0,18.0,20.0,12.0,25.0,24.0,26.0,2.0,17.0,10.0,13.0,23.0,24.0,22.0,27.0,27.0,7.0,26.0,Pre Season
los angeles lakers,2021-22,1,1610612747.0,6.0,0.0,6.0,0.0,48.0,37.0,88.2,0.42,11.7,34.5,0.338,17.8,25.2,0.709,9.0,37.8,46.8,22.2,19.8,9.0,5.2,4.3,23.3,22.8,103.5,-15.0,1.0,28.0,30.0,28.0,4.0,23.0,21.0,26.0,22.0,20.0,20.0,6.0,4.0,24.0,20.0,10.0,11.0,24.0,28.0,15.0,16.0,7.0,30.0,4.0,23.0,28.0,Pre Season,1610612747.0,6.0,0.0,6.0,0.0,288.0,94.0,95.8,108.4,109.0,-14.4,-13.2,0.599,1.12,15.6,0.232,0.733,0.482,0.184,0.486,0.521,109.7,108.33,90.28,648.0,0.418,1.0,28.0,30.0,28.0,1.0,27.0,22.0,28.0,15.0,27.0,26.0,26.0,18.0,24.0,25.0,25.0,25.0,2.0,27.0,Pre Season
memphis grizzlies,2021-22,1,1610612763.0,6.0,3.0,3.0,0.5,48.0,40.7,91.3,0.445,12.8,39.2,0.328,12.7,16.0,0.792,12.7,39.0,51.7,23.7,18.3,9.8,7.7,4.0,18.3,16.7,106.8,9.3,1.0,7.0,18.0,12.0,4.0,14.0,12.0,12.0,12.0,9.0,22.0,26.0,28.0,8.0,2.0,4.0,3.0,14.0,22.0,11.0,2.0,3.0,8.0,28.0,17.0,7.0,Pre Season,1610612763.0,6.0,3.0,3.0,0.5,288.0,102.7,105.4,94.0,95.7,8.6,9.7,0.582,1.29,16.7,0.328,0.773,0.554,0.181,0.516,0.543,103.9,101.58,84.65,608.0,0.548,1.0,7.0,18.0,12.0,1.0,14.0,4.0,7.0,23.0,20.0,17.0,2.0,3.0,2.0,23.0,15.0,17.0,24.0,5.0,Pre Season
miami heat,2021-22,1,1610612748.0,6.0,5.0,1.0,0.833,48.0,40.3,89.0,0.453,13.8,37.3,0.371,16.2,21.2,0.764,12.7,35.3,48.0,23.5,18.7,8.3,4.8,4.5,22.0,21.8,110.7,4.0,1.0,1.0,6.0,6.0,4.0,15.0,20.0,9.0,10.0,13.0,6.0,14.0,11.0,13.0,2.0,22.0,8.0,15.0,24.0,20.0,19.0,9.0,26.0,7.0,11.0,12.0,Pre Season,1610612748.0,6.0,5.0,1.0,0.833,288.0,106.1,107.8,102.1,103.6,4.0,4.2,0.583,1.26,16.6,0.298,0.756,0.525,0.182,0.531,0.563,104.4,102.83,85.69,616.0,0.508,1.0,1.0,6.0,6.0,1.0,10.0,15.0,11.0,22.0,22.0,18.0,5.0,10.0,4.0,24.0,7.0,8.0,19.0,12.0,Pre Season
milwaukee bucks,2021-22,1,1610612749.0,5.0,1.0,4.0,0.2,48.0,41.8,87.8,0.476,14.2,35.8,0.397,11.2,15.6,0.718,9.6,35.6,45.2,22.4,15.2,7.6,4.6,6.2,16.4,16.6,109.0,-1.8,4.0,20.0,26.0,26.0,4.0,9.0,22.0,3.0,9.0,16.0,2.0,30.0,29.0,22.0,17.0,21.0,24.0,22.0,7.0,26.0,21.0,21.0,1.0,29.0,15.0,17.0,Pre Season,1610612749.0,5.0,1.0,4.0,0.2,240.0,108.7,109.4,109.9,111.9,-1.2,-2.5,0.536,1.47,16.8,0.254,0.745,0.505,0.153,0.557,0.576,100.5,99.3,82.75,498.0,0.488,4.0,20.0,26.0,26.0,5.0,4.0,29.0,16.0,29.0,15.0,16.0,14.0,14.0,11.0,9.0,2.0,3.0,29.0,17.0,Pre Season
minnesota timberwolves,2021-22,1,1610612750.0,4.0,3.0,1.0,0.75,49.3,43.0,94.5,0.455,12.3,40.5,0.302,16.8,20.5,0.817,9.8,37.0,46.8,26.8,16.0,12.8,6.3,6.5,22.5,21.5,115.0,6.8,10.0,7.0,6.0,7.0,2.0,4.0,4.0,8.0,17.0,7.0,27.0,10.0,14.0,6.0,15.0,12.0,13.0,5.0,11.0,3.0,10.0,22.0,28.0,10.0,6.0,9.0,Pre Season,1610612750.0,4.0,3.0,1.0,0.75,197.0,104.8,106.5,98.8,99.5,5.9,6.9,0.628,1.69,18.1,0.242,0.719,0.484,0.148,0.52,0.555,106.9,105.62,88.02,432.0,0.546,10.0,7.0,6.0,7.0,10.0,13.0,9.0,9.0,9.0,6.0,6.0,18.0,22.0,23.0,8.0,12.0,10.0,9.0,6.0,Pre Season
new orleans pelicans,2021-22,1,1610612740.0,4.0,1.0,3.0,0.25,48.0,36.8,93.8,0.392,12.0,35.0,0.343,14.3,19.3,0.74,12.0,34.5,46.5,22.0,17.8,7.8,4.3,8.0,18.8,21.8,99.8,-13.0,10.0,20.0,18.0,20.0,4.0,25.0,9.0,30.0,20.0,19.0,17.0,20.0,19.0,18.0,6.0,26.0,15.0,25.0,19.0,24.0,26.0,29.0,9.0,8.0,27.0,27.0,Pre Season,1610612740.0,4.0,1.0,3.0,0.25,192.0,92.4,95.0,105.5,107.4,-13.1,-12.4,0.599,1.24,15.3,0.289,0.757,0.506,0.169,0.456,0.488,107.4,105.0,87.5,420.0,0.4,10.0,20.0,18.0,20.0,12.0,28.0,19.0,27.0,17.0,24.0,27.0,7.0,9.0,10.0,17.0,29.0,29.0,11.0,28.0,Pre Season
new york knicks,2021-22,1,1610612752.0,4.0,4.0,0.0,1.0,48.0,41.8,94.0,0.444,15.8,41.0,0.384,17.0,20.3,0.84,9.5,38.8,48.3,26.3,11.3,6.8,4.5,7.5,21.8,18.5,116.3,12.3,10.0,3.0,1.0,1.0,4.0,10.0,8.0,14.0,3.0,6.0,3.0,7.0,15.0,2.0,18.0,6.0,7.0,6.0,1.0,27.0,23.0,27.0,21.0,20.0,4.0,4.0,Pre Season,1610612752.0,4.0,4.0,0.0,1.0,192.0,111.1,113.4,99.7,101.5,11.4,12.0,0.629,2.33,18.4,0.259,0.767,0.515,0.11,0.528,0.565,104.5,102.5,85.42,410.0,0.545,10.0,3.0,1.0,1.0,12.0,2.0,10.0,4.0,8.0,1.0,5.0,11.0,6.0,8.0,1.0,8.0,6.0,21.0,7.0,Pre Season
