TEAM_NAME,Season,Month,TEAM_ID_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SeasonType_base,TEAM_ID_adv,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonType_adv
atlanta hawks,2023-24,1,1610612737.0,5.0,3.0,2.0,0.6,48.0,39.2,86.0,0.456,12.4,37.6,0.33,17.0,22.4,0.759,10.2,35.0,45.2,25.8,21.0,11.2,3.2,6.6,18.6,20.0,107.8,-2.2,2.0,7.0,11.0,10.0,8.0,23.0,28.0,16.0,21.0,19.0,21.0,20.0,21.0,17.0,26.0,20.0,21.0,20.0,31.0,6.0,34.0,27.0,3.0,23.0,27.0,21.0,Pre Season,1610612737.0,5.0,3.0,2.0,0.6,240.0,101.1,102.9,103.9,105.4,-2.9,-2.5,0.658,1.23,17.9,0.278,0.788,0.527,0.2,0.528,0.562,106.2,104.6,87.17,524.0,0.482,2.0,7.0,11.0,10.0,7.0,26.0,12.0,23.0,12.0,30.0,18.0,21.0,1.0,8.0,31.0,18.0,16.0,16.0,23.0,Pre Season
boston celtics,2023-24,1,1610612738.0,5.0,4.0,1.0,0.8,48.0,41.6,91.0,0.457,15.8,45.4,0.348,17.6,22.6,0.779,13.2,36.2,49.4,24.4,16.0,10.0,4.6,5.2,19.8,19.2,116.6,10.6,2.0,2.0,4.0,4.0,8.0,8.0,12.0,14.0,4.0,2.0,14.0,17.0,19.0,9.0,3.0,13.0,6.0,26.0,11.0,13.0,27.0,13.0,10.0,28.0,10.0,5.0,Pre Season,1610612738.0,5.0,4.0,1.0,0.8,240.0,112.4,115.4,103.2,105.2,9.2,10.3,0.587,1.53,17.2,0.323,0.732,0.531,0.158,0.544,0.578,103.2,100.9,84.08,505.0,0.546,2.0,2.0,4.0,4.0,7.0,4.0,11.0,4.0,29.0,14.0,25.0,5.0,10.0,5.0,14.0,8.0,9.0,29.0,6.0,Pre Season
brooklyn nets,2023-24,1,1610612751.0,4.0,2.0,2.0,0.5,48.0,41.5,88.0,0.472,16.8,38.3,0.438,22.0,27.8,0.793,10.8,36.8,47.5,26.3,18.8,7.3,5.8,5.5,16.8,23.8,121.8,6.0,17.0,14.0,11.0,15.0,8.0,9.0,22.0,8.0,2.0,18.0,1.0,5.0,6.0,7.0,19.0,12.0,11.0,16.0,24.0,33.0,20.0,14.0,1.0,4.0,2.0,8.0,Pre Season,1610612751.0,4.0,2.0,2.0,0.5,192.0,112.5,116.0,105.4,109.2,7.1,6.8,0.633,1.4,18.0,0.285,0.696,0.505,0.179,0.567,0.607,109.0,105.5,87.92,420.0,0.539,17.0,14.0,11.0,15.0,19.0,2.0,23.0,8.0,20.0,25.0,17.0,19.0,25.0,17.0,25.0,4.0,2.0,11.0,9.0,Pre Season
charlotte hornets,2023-24,1,1610612766.0,4.0,1.0,3.0,0.25,48.0,38.5,90.8,0.424,8.0,33.5,0.239,19.3,26.3,0.733,12.0,40.5,52.5,22.5,19.0,9.3,6.3,6.5,19.0,21.3,104.3,-9.0,17.0,23.0,23.0,24.0,8.0,26.0,15.0,30.0,32.0,30.0,33.0,10.0,11.0,24.0,8.0,1.0,1.0,30.0,27.0,20.0,13.0,24.0,4.0,16.0,29.0,29.0,Pre Season,1610612766.0,4.0,1.0,3.0,0.25,192.0,95.4,97.2,102.5,104.9,-7.2,-7.7,0.584,1.18,15.6,0.27,0.727,0.503,0.177,0.468,0.51,109.9,107.63,89.69,429.0,0.461,17.0,23.0,23.0,24.0,19.0,32.0,10.0,29.0,30.0,31.0,31.0,26.0,12.0,18.0,24.0,32.0,31.0,2.0,28.0,Pre Season
chicago bulls,2023-24,1,1610612741.0,5.0,1.0,4.0,0.2,50.0,41.2,95.0,0.434,11.8,32.8,0.36,14.6,17.8,0.82,15.4,29.2,44.6,26.0,17.0,10.2,3.6,7.8,21.4,18.0,108.8,-4.2,2.0,23.0,33.0,30.0,1.0,15.0,1.0,25.0,24.0,31.0,11.0,30.0,32.0,4.0,1.0,31.0,22.0,18.0,16.0,12.0,31.0,33.0,20.0,33.0,23.0,26.0,Pre Season,1610612741.0,5.0,1.0,4.0,0.2,250.0,104.2,105.6,107.4,109.3,-3.2,-3.7,0.631,1.53,17.6,0.337,0.722,0.508,0.165,0.496,0.529,100.6,99.07,82.56,515.0,0.458,2.0,23.0,33.0,30.0,2.0,20.0,24.0,26.0,22.0,13.0,21.0,3.0,14.0,15.0,15.0,27.0,26.0,33.0,29.0,Pre Season
cleveland cavaliers,2023-24,1,1610612739.0,4.0,1.0,3.0,0.25,48.0,39.3,85.8,0.458,14.5,41.8,0.347,16.0,20.3,0.79,6.8,37.8,44.5,28.0,20.5,9.3,6.5,4.0,21.5,18.3,109.0,5.5,17.0,23.0,23.0,24.0,8.0,22.0,31.0,13.0,9.0,8.0,16.0,25.0,27.0,8.0,35.0,7.0,23.0,9.0,29.0,20.0,11.0,4.0,22.0,32.0,22.0,9.0,Pre Season,1610612739.0,4.0,1.0,3.0,0.25,192.0,100.5,103.6,95.5,98.1,5.0,5.5,0.713,1.37,19.5,0.215,0.76,0.496,0.195,0.542,0.576,108.4,105.38,87.81,421.0,0.523,17.0,23.0,23.0,24.0,19.0,25.0,4.0,9.0,4.0,26.0,5.0,34.0,3.0,20.0,29.0,11.0,12.0,12.0,12.0,Pre Season
dallas mavericks,2023-24,1,1610612742.0,4.0,1.0,3.0,0.25,48.0,38.5,93.8,0.411,15.3,44.5,0.343,15.8,23.3,0.677,10.3,35.8,46.0,22.8,15.0,9.0,7.0,8.8,19.3,21.3,108.0,-3.5,17.0,23.0,23.0,24.0,8.0,26.0,4.0,32.0,6.0,5.0,19.0,26.0,17.0,33.0,25.0,16.0,15.0,28.0,5.0,22.0,8.0,35.0,7.0,16.0,25.0,24.0,Pre Season,1610612742.0,4.0,1.0,3.0,0.25,192.0,99.3,104.3,103.8,107.2,-4.5,-2.9,0.591,1.52,16.0,0.275,0.651,0.46,0.145,0.492,0.519,108.1,103.75,86.46,414.0,0.469,17.0,23.0,23.0,24.0,19.0,23.0,17.0,24.0,26.0,15.0,29.0,22.0,33.0,32.0,6.0,28.0,29.0,18.0,26.0,Pre Season
denver nuggets,2023-24,1,1610612743.0,5.0,3.0,2.0,0.6,50.0,40.8,86.2,0.473,13.8,39.2,0.352,16.8,22.2,0.757,9.2,31.2,40.4,28.4,16.6,9.8,6.0,3.6,20.6,20.2,112.2,2.6,2.0,7.0,11.0,10.0,1.0,17.0,26.0,5.0,13.0,13.0,13.0,22.0,23.0,19.0,31.0,28.0,31.0,6.0,14.0,16.0,14.0,3.0,14.0,22.0,17.0,16.0,Pre Season,1610612743.0,5.0,3.0,2.0,0.6,250.0,108.5,112.0,108.4,109.8,0.2,2.2,0.696,1.71,19.9,0.289,0.658,0.479,0.166,0.553,0.585,98.2,96.0,80.0,501.0,0.516,2.0,7.0,11.0,10.0,2.0,8.0,28.0,16.0,8.0,9.0,2.0,16.0,31.0,23.0,16.0,6.0,7.0,34.0,14.0,Pre Season
detroit pistons,2023-24,1,1610612765.0,4.0,2.0,2.0,0.5,49.3,43.0,91.0,0.473,13.0,35.8,0.364,20.0,27.8,0.721,11.5,39.8,51.3,28.3,18.3,6.8,6.0,5.5,26.0,22.0,119.0,-2.3,17.0,14.0,11.0,15.0,3.0,3.0,12.0,7.0,19.0,23.0,8.0,7.0,6.0,27.0,12.0,2.0,4.0,8.0,22.0,35.0,14.0,14.0,34.0,10.0,6.0,22.0,Pre Season,1610612765.0,4.0,2.0,2.0,0.5,197.0,108.2,108.2,109.5,109.5,-1.2,-1.3,0.657,1.55,18.6,0.266,0.768,0.525,0.166,0.544,0.576,107.6,107.57,89.64,440.0,0.488,17.0,14.0,11.0,15.0,17.0,16.0,27.0,19.0,13.0,12.0,10.0,29.0,2.0,10.0,18.0,8.0,11.0,3.0,22.0,Pre Season
golden state warriors,2023-24,1,1610612744.0,5.0,4.0,1.0,0.8,47.7,41.4,87.2,0.475,14.8,38.4,0.385,19.6,25.8,0.76,10.6,38.2,48.8,27.0,18.2,8.6,4.6,6.2,21.0,19.4,117.2,3.8,2.0,2.0,4.0,4.0,34.0,11.0,24.0,4.0,7.0,17.0,5.0,9.0,13.0,16.0,21.0,5.0,8.0,11.0,19.0,26.0,27.0,20.0,16.0,25.0,9.0,13.0,Pre Season,1610612744.0,5.0,4.0,1.0,0.8,238.0,110.7,111.7,105.9,108.7,4.9,3.0,0.66,1.52,18.3,0.3,0.753,0.541,0.172,0.56,0.595,108.1,106.19,88.49,529.0,0.521,2.0,2.0,4.0,4.0,16.0,9.0,22.0,13.0,10.0,16.0,13.0,11.0,6.0,3.0,20.0,5.0,5.0,7.0,13.0,Pre Season
