TEAM_NAME,W_PCT,PIE,EFG_PCT,TM_TOV_PCT,OREB_PCT,FTR,NET_RATING,OFF_RATING,DEF_RATING,PACE,Season
atlanta hawks,0.5,0.5058,0.5640000000000001,0.1368,0.3033,0.2666956887674903,1.5199999999999996,118.89,117.38,101.55,2024-25
boston celtics,0.6,0.5571,0.5421,0.1397,0.3124,0.2926428092241254,11.079999999999998,117.49,106.4,91.392,2024-25
brooklyn nets,0.3,0.4149,0.51,0.1559999999999999,0.2468999999999999,0.2236209837787507,-14.56,103.86,118.43,99.6,2024-25
charlotte hornets,0.1,0.4322,0.5044,0.1605,0.2711,0.2471618873571629,-15.889999999999995,103.61,119.52,98.55,2024-25
chicago bulls,0.7,0.5349,0.5667,0.1499,0.2748,0.246421287322052,4.59,115.03,110.44,105.65,2024-25
cleveland cavaliers,0.6,0.5463000000000001,0.5564,0.1329,0.3291,0.3080467467791411,12.19,121.27,109.07,97.386,2024-25
dallas mavericks,0.5,0.4942,0.5414,0.1488,0.2447,0.2981617505156752,-6.050000000000001,108.38,114.45,99.9,2024-25
denver nuggets,0.6,0.4882000000000001,0.5255,0.1528,0.3316,0.2745477192913958,-0.2199999999999999,112.76,113.0,97.355,2024-25
detroit pistons,0.3,0.4903,0.5318,0.1421,0.3143,0.2729973230132514,-1.9599999999999995,113.06,115.03,97.672,2024-25
golden state warriors,0.4,0.4784,0.5093,0.1485,0.3032,0.2364129110071574,-3.560000000000001,108.78000000000002,112.33,94.9,2024-25
houston rockets,0.4,0.4836999999999999,0.538,0.1484,0.3288,0.2780046151690873,-3.93,112.13,116.07,96.4,2024-25
indiana pacers,0.5,0.5117,0.5373,0.1636,0.2925,0.3289716145954839,-0.3599999999999997,111.2,111.55,99.3,2024-25
la clippers,0.7,0.526,0.5808,0.132,0.2996999999999999,0.218549825912442,5.870000000000001,120.31,114.43,92.853,2024-25
los angeles lakers,0.5,0.5114,0.5702,0.1623,0.311,0.2743348994714474,1.4200000000000002,116.91,115.48999999999998,94.55,2024-25
memphis grizzlies,0.4,0.4755,0.5199,0.1528999999999999,0.3238999999999999,0.2190630849396722,-2.800000000000001,110.55,113.32,101.55,2024-25
miami heat,0.4,0.5025,0.5706,0.1303,0.2761,0.1775842173296493,-0.979999999999998,114.8,115.78,97.159,2024-25
milwaukee bucks,0.7,0.5032,0.5657,0.1143,0.2297,0.2736390530231932,1.91,117.03,115.12,98.472,2024-25
minnesota timberwolves,0.6,0.5187999999999999,0.5504,0.1763,0.356,0.2638144459835864,4.539999999999998,113.99,109.46,97.2,2024-25
new orleans pelicans,0.2,0.4588,0.5332999999999999,0.1629,0.302,0.2199686834144588,-11.79,108.12,119.93000000000002,99.75,2024-25
new york knicks,0.5,0.5061,0.5197,0.1443,0.3498,0.3191758310481712,0.2699999999999987,115.27,115.0,94.891,2024-25
oklahoma city thunder,0.6,0.5065000000000001,0.5255,0.1407999999999999,0.2993,0.3153326083902804,1.0599999999999985,113.61,112.55,99.8,2024-25
orlando magic,0.6,0.5164,0.5279,0.1351,0.3168,0.2445065556713439,3.58,112.95,109.38,93.5,2024-25
philadelphia 76ers,0.1,0.4508,0.5152,0.1462,0.2961999999999999,0.2326401860739211,-10.39,108.43,118.82,98.3,2024-25
phoenix suns,0.2,0.4214,0.5347999999999999,0.1478,0.2807,0.1878547768667252,-15.59,111.0,126.56000000000002,97.25,2024-25
portland trail blazers,0.3,0.4575999999999999,0.5038,0.1457,0.3338,0.2340833153657416,-5.99,108.58,114.59,101.346,2024-25
sacramento kings,0.5,0.5076,0.5617,0.1343,0.3157999999999999,0.2327914646076633,2.470000000000001,118.46999999999998,115.99,95.85,2024-25
san antonio spurs,0.2,0.4469999999999999,0.5403,0.1396,0.2444,0.2024617343017577,-9.21,110.19,119.4,100.35,2024-25
toronto raptors,0.6,0.5091,0.5149,0.1207999999999999,0.2869,0.174016173069253,4.37,109.44,105.04,103.9,2024-25
utah jazz,0.1,0.3911,0.509,0.1475,0.2791,0.2300910424255869,-22.04,107.33,129.37,101.196,2024-25
washington wizards,0.2,0.4128,0.5045,0.1369999999999999,0.2435999999999999,0.2131243193783135,-17.5,104.42,121.91,98.55,2024-25
