GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Home,Team1Win
0021900001,2019-10-22,new orleans pelicans,toronto raptors,122,130,0.422,0.408,30,23,53,57,19,16,-8.0,8.0,0,0
0021900002,2019-10-22,la clippers,los angeles lakers,112,102,0.519,0.435,24,20,45,41,14,14,10.0,-10.0,1,1
0021900003,2019-10-23,charlotte hornets,chicago bulls,126,125,0.511,0.467,28,25,41,49,19,10,1.0,-1.0,1,1
0021900004,2019-10-23,detroit pistons,indiana pacers,119,110,0.526,0.461,26,26,45,36,18,15,9.0,-9.0,0,1
0021900005,2019-10-23,cleveland cavaliers,orlando magic,85,94,0.375,0.43,20,24,54,46,16,13,-9.0,9.0,0,0
0021900006,2019-10-23,brooklyn nets,minnesota timberwolves,126,127,0.475,0.426,19,23,48,52,16,13,-1.0,1.0,1,0
0021900007,2019-10-23,memphis grizzlies,miami heat,101,120,0.427,0.471,22,18,40,51,24,21,-19.0,19.0,0,0
0021900008,2019-10-23,boston celtics,philadelphia 76ers,93,107,0.367,0.435,18,24,41,62,10,15,-14.0,14.0,0,0
0021900009,2019-10-23,dallas mavericks,washington wizards,108,100,0.461,0.398,17,26,46,47,19,17,8.0,-8.0,1,1
0021900010,2019-10-23,new york knicks,san antonio spurs,111,120,0.468,0.506,24,22,39,51,14,21,-9.0,9.0,0,0
0021900011,2019-10-23,oklahoma city thunder,utah jazz,95,100,0.386,0.444,15,15,48,49,13,11,-5.0,5.0,0,0
0021900012,2019-10-23,phoenix suns,sacramento kings,124,95,0.5,0.391,31,17,44,47,14,26,29.0,-29.0,1,1
0021900013,2019-10-23,denver nuggets,portland trail blazers,108,100,0.42,0.414,24,13,45,48,19,20,8.0,-8.0,0,1
0021900014,2019-10-24,atlanta hawks,detroit pistons,117,100,0.512,0.412,27,20,42,39,13,13,17.0,-17.0,0,1
0021900015,2019-10-24,houston rockets,milwaukee bucks,111,117,0.367,0.465,25,31,57,53,14,11,-6.0,6.0,1,0
0021900016,2019-10-24,golden state warriors,la clippers,122,141,0.394,0.625,27,33,42,39,13,17,-19.0,19.0,1,0
0021900017,2019-10-25,boston celtics,toronto raptors,112,106,0.385,0.474,21,22,56,46,9,23,6.0,-6.0,1,1
0021900018,2019-10-25,charlotte hornets,minnesota timberwolves,99,121,0.44,0.473,26,30,42,52,19,15,-22.0,22.0,1,0
0021900019,2019-10-25,brooklyn nets,new york knicks,113,109,0.474,0.469,21,17,46,39,26,26,4.0,-4.0,1,1
0021900020,2019-10-25,chicago bulls,memphis grizzlies,110,102,0.43,0.415,18,24,45,56,13,18,8.0,-8.0,0,1
0021900021,2019-10-25,dallas mavericks,new orleans pelicans,123,116,0.484,0.459,23,30,49,48,11,14,7.0,-7.0,0,1
0021900022,2019-10-25,oklahoma city thunder,washington wizards,85,97,0.398,0.402,14,21,49,47,18,15,-12.0,12.0,1,0
0021900023,2019-10-25,denver nuggets,phoenix suns,108,107,0.391,0.395,21,25,45,54,14,17,1.0,-1.0,1,1
0021900024,2019-10-25,portland trail blazers,sacramento kings,122,112,0.541,0.425,23,17,40,43,16,17,10.0,-10.0,0,1
0021900025,2019-10-25,los angeles lakers,utah jazz,95,86,0.395,0.414,19,19,42,40,14,22,9.0,-9.0,1,1
0021900026,2019-10-26,miami heat,milwaukee bucks,131,126,0.455,0.436,33,22,54,47,16,18,5.0,-5.0,0,1
0021900027,2019-10-26,detroit pistons,philadelphia 76ers,111,117,0.539,0.483,20,30,35,38,23,22,-6.0,6.0,1,0
0021900028,2019-10-26,atlanta hawks,orlando magic,103,99,0.512,0.354,22,15,52,46,18,10,4.0,-4.0,1,1
