GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Home,Team1Win
0022300001,2023-11-03,cleveland cavaliers,indiana pacers,116,121,0.524,0.523,27,28,35,40,13,18,-5.0,5.0,0,0
0022300002,2023-11-03,milwaukee bucks,new york knicks,110,105,0.427,0.396,24,18,41,56,14,10,5.0,-5.0,1,1
0022300003,2023-11-03,miami heat,washington wizards,121,114,0.6,0.568,35,33,37,30,19,20,7.0,-7.0,1,1
0022300004,2023-11-03,brooklyn nets,chicago bulls,109,107,0.458,0.483,32,21,39,42,8,10,2.0,-2.0,0,1
0022300005,2023-11-03,golden state warriors,oklahoma city thunder,141,139,0.533,0.602,36,26,38,32,15,19,2.0,-2.0,0,1
0022300006,2023-11-03,dallas mavericks,denver nuggets,114,125,0.477,0.527,27,33,34,51,15,17,-11.0,11.0,0,0
0022300007,2023-11-03,memphis grizzlies,portland trail blazers,113,115,0.49,0.406,29,19,48,50,17,14,-2.0,2.0,0,0
0022300008,2023-11-10,detroit pistons,philadelphia 76ers,106,114,0.465,0.422,28,23,48,46,16,8,-8.0,8.0,1,0
0022300009,2023-11-10,charlotte hornets,washington wizards,124,117,0.455,0.489,31,28,67,36,9,15,7.0,-7.0,0,1
0022300010,2023-11-10,boston celtics,brooklyn nets,121,107,0.436,0.447,29,26,52,46,7,10,14.0,-14.0,1,1
0022300011,2023-11-10,houston rockets,new orleans pelicans,104,101,0.409,0.453,20,12,42,49,9,18,3.0,-3.0,1,1
0022300012,2023-11-10,memphis grizzlies,utah jazz,121,127,0.455,0.539,23,28,37,38,11,19,-6.0,6.0,1,0
0022300013,2023-11-10,minnesota timberwolves,san antonio spurs,117,110,0.494,0.467,23,29,51,38,18,14,7.0,-7.0,0,1
0022300014,2023-11-10,dallas mavericks,la clippers,144,126,0.52,0.489,30,21,41,47,8,14,18.0,-18.0,1,1
0022300015,2023-11-10,los angeles lakers,phoenix suns,122,119,0.5,0.447,27,22,43,52,11,13,3.0,-3.0,0,1
0022300016,2023-11-10,oklahoma city thunder,sacramento kings,98,105,0.448,0.418,22,28,38,52,16,17,-7.0,7.0,0,0
0022300017,2023-11-14,charlotte hornets,miami heat,105,111,0.444,0.482,21,26,45,42,18,7,-6.0,6.0,1,0
0022300018,2023-11-14,atlanta hawks,detroit pistons,126,120,0.517,0.522,28,36,41,42,14,17,6.0,-6.0,0,1
0022300019,2023-11-14,indiana pacers,philadelphia 76ers,132,126,0.516,0.5,32,22,41,38,11,16,6.0,-6.0,0,1
0022300020,2023-11-14,brooklyn nets,orlando magic,124,104,0.541,0.439,22,23,44,37,15,14,20.0,-20.0,1,1
0022300021,2023-11-14,oklahoma city thunder,san antonio spurs,123,87,0.517,0.387,34,24,40,43,15,24,36.0,-36.0,1,1
0022300022,2023-11-14,dallas mavericks,new orleans pelicans,110,131,0.422,0.521,25,33,45,42,20,12,-21.0,21.0,0,0
0022300023,2023-11-14,portland trail blazers,utah jazz,99,115,0.42,0.463,23,26,43,52,17,12,-16.0,16.0,0,0
0022300024,2023-11-14,denver nuggets,la clippers,111,108,0.534,0.43,26,21,36,42,14,10,3.0,-3.0,1,1
0022300025,2023-11-14,golden state warriors,minnesota timberwolves,101,104,0.42,0.444,28,24,46,42,19,19,-3.0,3.0,1,0
0022300026,2023-11-14,los angeles lakers,memphis grizzlies,134,107,0.58,0.368,30,28,54,33,18,9,27.0,-27.0,1,1
0022300027,2023-11-17,charlotte hornets,milwaukee bucks,99,130,0.407,0.551,18,32,43,49,12,13,-31.0,31.0,1,0
0022300028,2023-11-17,new york knicks,washington wizards,120,99,0.495,0.451,26,25,48,32,10,14,21.0,-21.0,0,1
0022300029,2023-11-17,atlanta hawks,philadelphia 76ers,116,126,0.449,0.489,24,32,39,43,13,15,-10.0,10.0,1,0
0022300030,2023-11-17,cleveland cavaliers,detroit pistons,108,100,0.512,0.429,21,20,39,51,12,17,8.0,-8.0,1,1
0022300031,2023-11-17,boston celtics,toronto raptors,108,105,0.457,0.483,29,29,44,41,10,13,3.0,-3.0,0,1
0022300032,2023-11-17,sacramento kings,san antonio spurs,129,120,0.541,0.467,31,33,42,42,13,15,9.0,-9.0,0,1
0022300033,2023-11-17,chicago bulls,orlando magic,97,103,0.443,0.481,19,24,34,46,16,17,-6.0,6.0,1,0
0022300034,2023-11-17,denver nuggets,new orleans pelicans,110,115,0.49,0.523,37,33,51,39,13,9,-5.0,5.0,0,0
0022300035,2023-11-17,phoenix suns,utah jazz,131,128,0.523,0.506,35,27,36,39,8,8,3.0,-3.0,0,1
0022300036,2023-11-17,los angeles lakers,portland trail blazers,107,95,0.494,0.404,27,17,44,48,18,18,13.0,-13.0,0,1
0022300037,2023-11-17,houston rockets,la clippers,100,106,0.432,0.434,24,22,47,47,16,12,-6.0,6.0,0,0
0022300038,2023-11-21,orlando magic,toronto raptors,126,107,0.5,0.507,31,29,40,38,12,23,19.0,-19.0,1,1
0022300039,2023-11-21,atlanta hawks,indiana pacers,152,157,0.6,0.606,28,35,39,29,15,13,-5.0,5.0,1,0
0022300040,2023-11-21,cleveland cavaliers,philadelphia 76ers,122,119,0.489,0.417,33,19,56,44,15,14,3.0,-3.0,0,1
0022300041,2023-11-21,phoenix suns,portland trail blazers,120,107,0.566,0.437,26,20,38,30,13,13,13.0,-13.0,1,1
0022300042,2023-11-21,los angeles lakers,utah jazz,131,99,0.57,0.388,35,25,52,42,13,14,32.0,-32.0,1,1
0022300043,2023-11-24,boston celtics,orlando magic,96,113,0.408,0.506,17,23,31,48,14,18,-17.0,17.0,0,0
0022300044,2023-11-24,memphis grizzlies,phoenix suns,89,110,0.463,0.513,22,22,35,41,13,12,-21.0,21.0,1,0
0022300045,2023-11-24,miami heat,new york knicks,98,100,0.391,0.481,20,21,41,46,11,18,-2.0,2.0,0,0
0022300046,2023-11-24,chicago bulls,toronto raptors,108,121,0.512,0.53,20,32,37,40,12,14,-13.0,13.0,0,0
0022300047,2023-11-24,detroit pistons,indiana pacers,113,136,0.478,0.48,22,24,43,40,14,8,-23.0,23.0,0,0
0022300048,2023-11-24,denver nuggets,houston rockets,86,105,0.34,0.488,17,25,46,49,15,14,-19.0,19.0,0,0
0022300049,2023-11-24,milwaukee bucks,washington wizards,131,128,0.522,0.48,28,29,50,46,9,8,3.0,-3.0,1,1
0022300050,2023-11-24,minnesota timberwolves,sacramento kings,111,124,0.439,0.49,25,25,44,46,18,13,-13.0,13.0,1,0
0022300051,2023-11-24,golden state warriors,san antonio spurs,118,112,0.494,0.45,35,28,41,46,24,19,6.0,-6.0,1,1
0022300052,2023-11-24,la clippers,new orleans pelicans,106,116,0.457,0.489,27,26,39,50,11,15,-10.0,10.0,1,0
0022300053,2023-11-28,boston celtics,chicago bulls,124,97,0.522,0.433,36,25,52,37,16,8,27.0,-27.0,1,1
0022300054,2023-11-28,brooklyn nets,toronto raptors,115,103,0.449,0.386,26,27,59,46,15,7,12.0,-12.0,1,1
0022300055,2023-11-28,atlanta hawks,cleveland cavaliers,105,128,0.347,0.538,21,27,44,55,10,16,-23.0,23.0,0,0
0022300056,2023-11-28,miami heat,milwaukee bucks,124,131,0.511,0.534,32,26,35,45,6,9,-7.0,7.0,1,0
0022300057,2023-11-28,charlotte hornets,new york knicks,91,115,0.416,0.466,21,21,41,54,17,16,-24.0,24.0,0,0
0022300058,2023-11-28,minnesota timberwolves,oklahoma city thunder,106,103,0.423,0.411,18,22,51,36,19,8,3.0,-3.0,1,1
0022300059,2023-11-28,dallas mavericks,houston rockets,121,115,0.472,0.494,25,33,38,40,7,12,6.0,-6.0,1,1
0022300060,2023-11-28,golden state warriors,sacramento kings,123,124,0.482,0.451,25,25,52,46,18,10,-1.0,1.0,0,0
0022300061,2023-10-24,denver nuggets,los angeles lakers,119,107,0.527,0.456,29,23,42,44,11,11,12.0,-12.0,1,1
0022300062,2023-10-24,golden state warriors,phoenix suns,104,108,0.356,0.442,19,23,49,60,11,19,-4.0,4.0,1,0
0022300063,2023-10-25,atlanta hawks,charlotte hornets,110,116,0.419,0.5,24,34,42,51,12,19,-6.0,6.0,0,0
0022300064,2023-10-25,indiana pacers,washington wizards,143,120,0.523,0.458,38,28,51,45,12,14,23.0,-23.0,1,1
0022300065,2023-10-25,boston celtics,new york knicks,108,104,0.481,0.371,18,24,46,47,13,9,4.0,-4.0,0,1
0022300066,2023-10-25,houston rockets,orlando magic,86,116,0.405,0.483,19,19,31,57,18,14,-30.0,30.0,0,0
0022300067,2023-10-25,brooklyn nets,cleveland cavaliers,113,114,0.5,0.468,30,25,50,38,17,10,-1.0,1.0,1,0
0022300068,2023-10-25,detroit pistons,miami heat,102,103,0.446,0.402,28,22,56,48,16,7,-1.0,1.0,0,0
0022300069,2023-10-25,minnesota timberwolves,toronto raptors,94,97,0.34,0.4,20,27,62,47,14,14,-3.0,3.0,0,0
0022300070,2023-10-25,chicago bulls,oklahoma city thunder,104,124,0.415,0.549,26,30,42,43,12,15,-20.0,20.0,1,0
0022300071,2023-10-25,memphis grizzlies,new orleans pelicans,104,111,0.418,0.471,23,22,37,52,13,21,-7.0,7.0,1,0
0022300072,2023-10-25,sacramento kings,utah jazz,130,114,0.461,0.451,29,22,45,54,11,14,16.0,-16.0,0,1
0022300073,2023-10-25,dallas mavericks,san antonio spurs,126,119,0.475,0.517,24,33,48,45,12,19,7.0,-7.0,0,1
0022300074,2023-10-25,la clippers,portland trail blazers,123,111,0.522,0.473,36,20,45,40,17,17,12.0,-12.0,1,1
0022300075,2023-10-26,milwaukee bucks,philadelphia 76ers,118,117,0.506,0.513,20,25,43,39,14,15,1.0,-1.0,1,1
0022300076,2023-10-26,los angeles lakers,phoenix suns,100,95,0.429,0.42,24,16,42,49,16,20,5.0,-5.0,1,1
0022300077,2023-10-27,charlotte hornets,detroit pistons,99,111,0.375,0.455,20,28,41,53,18,23,-12.0,12.0,1,0
0022300078,2023-10-27,denver nuggets,memphis grizzlies,108,104,0.466,0.435,27,22,40,48,17,20,4.0,-4.0,0,1
0022300079,2023-10-27,atlanta hawks,new york knicks,120,126,0.483,0.478,28,30,44,45,14,16,-6.0,6.0,1,0
0022300080,2023-10-27,boston celtics,miami heat,119,111,0.474,0.427,20,24,55,45,15,12,8.0,-8.0,1,1
0022300081,2023-10-27,cleveland cavaliers,oklahoma city thunder,105,108,0.413,0.46,20,22,48,47,13,18,-3.0,3.0,1,0
0022300082,2023-10-27,chicago bulls,toronto raptors,104,103,0.374,0.464,18,25,52,53,16,21,1.0,-1.0,1,1
0022300083,2023-10-27,houston rockets,san antonio spurs,122,126,0.52,0.489,30,32,43,43,18,18,-4.0,4.0,0,0
0022300084,2023-10-27,brooklyn nets,dallas mavericks,120,125,0.489,0.484,30,20,47,40,15,9,-5.0,5.0,0,0
0022300085,2023-10-27,la clippers,utah jazz,118,120,0.532,0.438,17,27,36,45,14,14,-2.0,2.0,0,0
0022300086,2023-10-27,orlando magic,portland trail blazers,102,97,0.456,0.398,22,15,45,47,14,16,5.0,-5.0,0,1
0022300087,2023-10-27,golden state warriors,sacramento kings,122,114,0.552,0.436,32,24,39,41,19,14,8.0,-8.0,0,1
0022300088,2023-10-28,chicago bulls,detroit pistons,102,118,0.419,0.523,16,29,33,53,8,15,-16.0,16.0,0,0
0022300089,2023-10-28,memphis grizzlies,washington wizards,106,113,0.429,0.43,27,24,45,45,16,11,-7.0,7.0,0,0
0022300090,2023-10-28,new orleans pelicans,new york knicks,96,87,0.46,0.367,20,19,43,59,13,18,9.0,-9.0,1,1
0022300091,2023-10-28,cleveland cavaliers,indiana pacers,113,125,0.434,0.49,29,36,51,48,6,7,-12.0,12.0,1,0
0022300092,2023-10-28,philadelphia 76ers,toronto raptors,114,107,0.5,0.437,25,28,42,41,9,13,7.0,-7.0,0,1
0022300093,2023-10-28,miami heat,minnesota timberwolves,90,106,0.402,0.512,24,30,42,47,14,14,-16.0,16.0,0,0
0022300094,2023-10-28,phoenix suns,utah jazz,126,104,0.529,0.44,31,26,39,45,11,18,22.0,-22.0,1,1
0022300095,2023-10-29,denver nuggets,oklahoma city thunder,128,95,0.602,0.411,34,22,48,29,13,9,33.0,-33.0,0,1
0022300096,2023-10-29,golden state warriors,houston rockets,106,95,0.432,0.378,27,22,49,42,14,7,11.0,-11.0,0,1
0022300097,2023-10-29,atlanta hawks,milwaukee bucks,127,110,0.505,0.453,32,22,46,39,17,23,17.0,-17.0,0,1
0022300098,2023-10-29,philadelphia 76ers,portland trail blazers,126,98,0.488,0.383,28,19,51,42,15,15,28.0,-28.0,1,1
0022300099,2023-10-29,la clippers,san antonio spurs,123,83,0.516,0.375,23,21,48,37,16,25,40.0,-40.0,1,1
0022300100,2023-10-29,los angeles lakers,sacramento kings,127,132,0.439,0.471,27,30,53,47,12,10,-5.0,5.0,0,0
0022300101,2023-10-30,brooklyn nets,charlotte hornets,133,121,0.563,0.49,25,33,46,39,13,9,12.0,-12.0,0,1
0022300102,2023-10-30,chicago bulls,indiana pacers,112,105,0.46,0.409,19,26,44,47,13,17,7.0,-7.0,0,1
0022300103,2023-10-30,boston celtics,washington wizards,126,107,0.5,0.448,31,26,51,40,17,15,19.0,-19.0,0,1
0022300104,2023-10-30,atlanta hawks,minnesota timberwolves,127,113,0.558,0.489,28,24,36,38,9,10,14.0,-14.0,1,1
0022300105,2023-10-30,portland trail blazers,toronto raptors,99,91,0.447,0.404,20,19,51,47,14,11,8.0,-8.0,0,1
0022300106,2023-10-30,dallas mavericks,memphis grizzlies,125,110,0.5,0.457,24,22,48,44,15,12,15.0,-15.0,0,1
0022300107,2023-10-30,miami heat,milwaukee bucks,114,122,0.477,0.506,27,24,40,43,14,14,-8.0,8.0,0,0
0022300108,2023-10-30,golden state warriors,new orleans pelicans,130,102,0.52,0.409,28,23,64,39,14,11,28.0,-28.0,0,1
0022300109,2023-10-30,detroit pistons,oklahoma city thunder,112,124,0.429,0.53,31,21,41,44,16,15,-12.0,12.0,0,0
0022300110,2023-10-30,denver nuggets,utah jazz,110,102,0.56,0.429,32,30,43,51,12,12,8.0,-8.0,1,1
0022300111,2023-10-30,los angeles lakers,orlando magic,106,103,0.532,0.4,28,28,40,44,16,11,3.0,-3.0,1,1
0022300112,2023-10-31,cleveland cavaliers,new york knicks,91,109,0.391,0.442,19,18,46,48,15,14,-18.0,18.0,1,0
0022300113,2023-10-31,phoenix suns,san antonio spurs,114,115,0.506,0.467,29,25,43,37,19,12,-1.0,1.0,1,0
0022300114,2023-10-31,la clippers,orlando magic,118,102,0.494,0.469,29,23,44,40,16,16,16.0,-16.0,1,1
0022300115,2023-11-01,detroit pistons,portland trail blazers,101,110,0.444,0.469,24,23,38,44,18,17,-9.0,9.0,1,0
0022300116,2023-11-01,milwaukee bucks,toronto raptors,111,130,0.461,0.56,19,35,29,50,12,16,-19.0,19.0,0,0
0022300117,2023-11-01,atlanta hawks,washington wizards,130,121,0.5,0.505,26,32,57,35,20,11,9.0,-9.0,1,1
0022300118,2023-11-01,boston celtics,indiana pacers,155,104,0.568,0.455,27,26,57,31,11,9,51.0,-51.0,1,1
0022300119,2023-11-01,brooklyn nets,miami heat,109,105,0.451,0.429,27,22,47,46,18,16,4.0,-4.0,0,1
