GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100050,2021-10-26,new york knicks,philadelphia 76ers,112,99,0.471,0.439,24,24,45,40,12,14,13.0,-13.0,1
0022100051,2021-10-26,golden state warriors,oklahoma city thunder,106,98,0.47,0.419,30,19,46,42,15,13,8.0,-8.0,1
0022100052,2021-10-26,dallas mavericks,houston rockets,116,106,0.462,0.419,25,24,50,49,14,17,10.0,-10.0,1
0022100053,2021-10-26,los angeles lakers,san antonio spurs,125,121,0.476,0.444,20,33,56,59,13,15,4.0,-4.0,1
0022100054,2021-10-26,denver nuggets,utah jazz,110,122,0.506,0.518,19,20,35,41,13,13,-12.0,12.0,0
0022100055,2021-10-27,charlotte hornets,orlando magic,120,111,0.518,0.489,22,22,40,33,16,18,9.0,-9.0,1
0022100056,2021-10-27,boston celtics,washington wizards,107,116,0.435,0.512,18,18,37,47,13,15,-9.0,9.0,0
0022100057,2021-10-27,brooklyn nets,miami heat,93,106,0.388,0.396,21,21,42,62,15,14,-13.0,13.0,0
0022100058,2021-10-27,indiana pacers,toronto raptors,100,118,0.481,0.46,19,22,40,41,22,10,-18.0,18.0,0
0022100059,2021-10-27,atlanta hawks,new orleans pelicans,102,99,0.417,0.43,21,24,55,44,11,9,3.0,-3.0,1
0022100060,2021-10-27,milwaukee bucks,minnesota timberwolves,108,113,0.411,0.473,22,29,43,49,8,17,-5.0,5.0,0
0022100061,2021-10-27,los angeles lakers,oklahoma city thunder,115,123,0.5,0.5,29,21,40,42,17,15,-8.0,8.0,0
0022100062,2021-10-27,phoenix suns,sacramento kings,107,110,0.452,0.442,23,28,56,40,11,11,-3.0,3.0,0
0022100063,2021-10-27,memphis grizzlies,portland trail blazers,96,116,0.365,0.464,27,22,50,48,21,13,-20.0,20.0,0
0022100064,2021-10-27,cleveland cavaliers,la clippers,92,79,0.407,0.356,12,19,57,36,20,14,13.0,-13.0,1
0022100065,2021-10-28,detroit pistons,philadelphia 76ers,102,110,0.407,0.5,22,22,37,46,12,20,-8.0,8.0,0
0022100066,2021-10-28,atlanta hawks,washington wizards,111,122,0.545,0.465,26,26,43,51,13,6,-11.0,11.0,0
0022100067,2021-10-28,chicago bulls,new york knicks,103,104,0.429,0.459,25,16,37,49,7,13,-1.0,1.0,0
0022100068,2021-10-28,houston rockets,utah jazz,91,122,0.326,0.482,15,24,41,58,11,16,-31.0,31.0,0
0022100069,2021-10-28,dallas mavericks,san antonio spurs,104,99,0.461,0.443,18,21,45,48,12,14,5.0,-5.0,1
0022100070,2021-10-28,golden state warriors,memphis grizzlies,101,104,0.433,0.402,29,25,48,51,22,17,-3.0,3.0,0
0022100071,2021-10-29,orlando magic,toronto raptors,109,110,0.471,0.5,24,18,46,40,17,7,-1.0,1.0,0
0022100072,2021-10-29,brooklyn nets,indiana pacers,105,98,0.447,0.398,20,20,50,46,18,14,7.0,-7.0,1
0022100073,2021-10-29,charlotte hornets,miami heat,99,114,0.389,0.473,21,23,37,60,11,17,-15.0,15.0,0
0022100074,2021-10-29,new orleans pelicans,sacramento kings,109,113,0.429,0.5,18,19,49,45,10,14,-4.0,4.0,0
0022100075,2021-10-29,dallas mavericks,denver nuggets,75,106,0.295,0.518,14,28,36,51,15,19,-31.0,31.0,0
0022100076,2021-10-29,la clippers,portland trail blazers,92,111,0.391,0.418,17,21,43,63,12,14,-19.0,19.0,0
0022100077,2021-10-29,cleveland cavaliers,los angeles lakers,101,113,0.425,0.548,28,24,36,42,15,20,-12.0,12.0,0
0022100078,2021-10-30,boston celtics,washington wizards,112,115,0.411,0.365,23,19,54,62,11,13,-3.0,3.0,0
0022100079,2021-10-30,detroit pistons,orlando magic,110,103,0.404,0.437,26,21,48,46,13,17,7.0,-7.0,1
0022100080,2021-10-30,new orleans pelicans,new york knicks,117,123,0.457,0.519,30,22,43,37,11,12,-6.0,6.0,0
