GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Home,Team1Win
0022400001,2024-11-12,atlanta hawks,boston celtics,117,116,0.505,0.507,35,28,44,34,16,20,1.0,-1.0,0,1
0022400002,2024-11-12,detroit pistons,miami heat,123,121,0.467,0.465,32,25,56,43,19,10,2.0,-2.0,1,1
0022400003,2024-11-12,charlotte hornets,orlando magic,89,114,0.405,0.462,22,25,48,43,22,11,-25.0,25.0,0,0
0022400004,2024-11-12,new york knicks,philadelphia 76ers,111,99,0.494,0.373,31,19,47,40,15,13,12.0,-12.0,0,1
0022400005,2024-11-12,milwaukee bucks,toronto raptors,99,85,0.404,0.349,25,20,47,54,16,21,14.0,-14.0,1,1
0022400006,2024-11-12,phoenix suns,utah jazz,120,112,0.5,0.489,21,32,42,39,8,10,8.0,-8.0,0,1
0022400007,2024-11-12,dallas mavericks,golden state warriors,117,120,0.524,0.479,26,29,40,50,17,12,-3.0,3.0,0,0
0022400008,2024-11-12,minnesota timberwolves,portland trail blazers,108,122,0.507,0.512,22,30,32,39,21,19,-14.0,14.0,0,0
0022400009,2024-11-15,indiana pacers,miami heat,111,124,0.512,0.517,28,27,39,36,20,10,-13.0,13.0,1,0
0022400010,2024-11-15,orlando magic,philadelphia 76ers,98,86,0.436,0.403,15,19,43,34,17,16,12.0,-12.0,1,1
0022400011,2024-11-15,detroit pistons,toronto raptors,99,95,0.411,0.361,24,21,56,53,13,14,4.0,-4.0,0,1
0022400012,2024-11-15,atlanta hawks,washington wizards,129,117,0.469,0.406,28,28,55,52,16,15,12.0,-12.0,1,1
0022400013,2024-11-15,chicago bulls,cleveland cavaliers,126,144,0.511,0.548,32,33,36,40,17,13,-18.0,18.0,0,0
0022400014,2024-11-15,brooklyn nets,new york knicks,122,124,0.438,0.53,27,25,37,45,9,13,-2.0,2.0,0,0
0022400015,2024-11-15,los angeles lakers,san antonio spurs,120,115,0.5,0.489,27,32,41,40,10,13,5.0,-5.0,0,1
0022400016,2024-11-15,houston rockets,la clippers,125,104,0.484,0.378,31,12,48,51,12,14,21.0,-21.0,1,1
0022400017,2024-11-15,denver nuggets,new orleans pelicans,94,101,0.425,0.425,26,21,38,56,7,14,-7.0,7.0,0,0
0022400018,2024-11-15,oklahoma city thunder,phoenix suns,99,83,0.396,0.293,21,17,53,50,10,14,16.0,-16.0,1,1
0022400019,2024-11-15,golden state warriors,memphis grizzlies,123,118,0.439,0.408,33,22,56,54,19,15,5.0,-5.0,1,1
0022400020,2024-11-15,minnesota timberwolves,sacramento kings,130,126,0.475,0.5,26,21,41,51,11,13,4.0,-4.0,0,1
0022400021,2024-11-19,boston celtics,cleveland cavaliers,120,117,0.512,0.495,32,30,42,41,13,7,3.0,-3.0,1,1
0022400022,2024-11-19,brooklyn nets,charlotte hornets,116,115,0.494,0.463,31,25,36,44,13,21,1.0,-1.0,1,1
0022400023,2024-11-19,denver nuggets,memphis grizzlies,122,110,0.48,0.398,29,24,53,55,18,22,12.0,-12.0,0,1
0022400024,2024-11-19,dallas mavericks,new orleans pelicans,132,91,0.521,0.397,26,19,48,37,11,21,41.0,-41.0,1,1
0022400025,2024-11-19,oklahoma city thunder,san antonio spurs,104,110,0.41,0.47,24,32,47,46,13,21,-6.0,6.0,0,0
0022400026,2024-11-19,los angeles lakers,utah jazz,124,118,0.553,0.5,30,28,34,42,14,14,6.0,-6.0,1,1
0022400027,2024-11-22,brooklyn nets,philadelphia 76ers,98,113,0.494,0.446,28,25,34,40,19,11,-15.0,15.0,0,0
0022400028,2024-11-22,boston celtics,washington wizards,108,96,0.424,0.433,22,19,43,48,12,19,12.0,-12.0,0,1
0022400029,2024-11-22,indiana pacers,milwaukee bucks,117,129,0.473,0.533,30,33,46,44,15,17,-12.0,12.0,0,0
0022400030,2024-11-22,atlanta hawks,chicago bulls,122,136,0.458,0.57,32,36,42,41,11,19,-14.0,14.0,0,0
0022400031,2024-11-22,houston rockets,portland trail blazers,116,88,0.452,0.33,27,17,51,45,17,20,28.0,-28.0,1,1
0022400032,2024-11-22,golden state warriors,new orleans pelicans,112,108,0.448,0.446,27,28,52,43,16,9,4.0,-4.0,0,1
0022400033,2024-11-22,dallas mavericks,denver nuggets,123,120,0.505,0.478,24,33,44,42,13,13,3.0,-3.0,0,1
0022400034,2024-11-22,la clippers,sacramento kings,104,88,0.415,0.386,27,19,54,48,12,15,16.0,-16.0,1,1
0022400035,2024-11-26,chicago bulls,washington wizards,127,108,0.5,0.429,29,27,50,43,10,12,19.0,-19.0,0,1
0022400036,2024-11-26,miami heat,milwaukee bucks,103,106,0.455,0.468,26,23,38,41,8,10,-3.0,3.0,1,0
0022400037,2024-11-26,houston rockets,minnesota timberwolves,117,111,0.455,0.429,31,21,44,52,10,17,6.0,-6.0,0,1
0022400038,2024-11-26,san antonio spurs,utah jazz,128,115,0.484,0.512,30,24,39,41,10,21,13.0,-13.0,0,1
0022400039,2024-11-26,los angeles lakers,phoenix suns,100,127,0.435,0.515,25,31,42,46,12,9,-27.0,27.0,0,0
0022400040,2024-11-29,charlotte hornets,new york knicks,98,99,0.404,0.444,25,20,39,44,13,19,-1.0,1.0,1,0
0022400041,2024-11-29,atlanta hawks,cleveland cavaliers,117,101,0.518,0.409,33,21,53,40,18,13,16.0,-16.0,1,1
0022400042,2024-11-29,memphis grizzlies,new orleans pelicans,120,109,0.49,0.418,36,16,51,46,15,14,11.0,-11.0,1,1
0022400043,2024-11-29,brooklyn nets,orlando magic,100,123,0.494,0.53,22,29,35,40,20,17,-23.0,23.0,1,0
0022400044,2024-11-29,la clippers,minnesota timberwolves,92,93,0.429,0.413,20,25,39,49,15,21,-1.0,1.0,0,0
0022400045,2024-11-29,detroit pistons,indiana pacers,130,106,0.578,0.482,35,23,44,32,18,16,24.0,-24.0,0,1
0022400046,2024-11-29,miami heat,toronto raptors,121,111,0.457,0.538,32,34,33,46,8,18,10.0,-10.0,1,1
0022400047,2024-11-29,boston celtics,chicago bulls,138,129,0.5,0.516,24,28,51,43,9,8,9.0,-9.0,0,1
0022400048,2024-11-29,los angeles lakers,oklahoma city thunder,93,101,0.452,0.409,25,20,47,47,17,9,-8.0,8.0,1,0
0022400049,2024-11-29,portland trail blazers,sacramento kings,115,106,0.511,0.449,27,29,40,41,11,20,9.0,-9.0,1,1
0022400050,2024-12-03,charlotte hornets,philadelphia 76ers,104,110,0.442,0.463,22,26,47,31,15,12,-6.0,6.0,1,0
0022400051,2024-12-03,cleveland cavaliers,washington wizards,118,87,0.483,0.386,31,18,45,52,11,20,31.0,-31.0,1,1
0022400052,2024-12-03,detroit pistons,milwaukee bucks,107,128,0.46,0.563,22,26,41,36,18,16,-21.0,21.0,1,0
0022400053,2024-12-03,new york knicks,orlando magic,121,106,0.506,0.437,30,20,39,38,17,15,15.0,-15.0,1,1
0022400054,2024-12-03,indiana pacers,toronto raptors,111,122,0.452,0.543,21,28,34,42,20,21,-11.0,11.0,0,0
0022400055,2024-12-03,oklahoma city thunder,utah jazz,133,106,0.52,0.543,32,21,34,36,8,29,27.0,-27.0,1,1
0022400056,2024-12-03,dallas mavericks,memphis grizzlies,121,116,0.481,0.464,24,27,49,39,25,19,5.0,-5.0,1,1
0022400057,2024-12-03,phoenix suns,san antonio spurs,104,93,0.487,0.35,26,26,44,53,12,14,11.0,-11.0,1,1
0022400058,2024-12-03,denver nuggets,golden state warriors,119,115,0.506,0.463,32,36,38,48,15,14,4.0,-4.0,1,1
0022400059,2024-12-03,houston rockets,sacramento kings,111,120,0.441,0.516,14,33,53,34,15,10,-9.0,9.0,0,0
0022400060,2024-12-03,la clippers,portland trail blazers,127,105,0.553,0.513,29,25,35,29,13,15,22.0,-22.0,1,1
0022400061,2024-10-22,boston celtics,new york knicks,132,109,0.505,0.551,33,20,40,34,3,11,23.0,-23.0,1,1
0022400062,2024-10-22,los angeles lakers,minnesota timberwolves,110,103,0.442,0.412,22,17,46,47,7,15,7.0,-7.0,1,1
0022400063,2024-10-23,detroit pistons,indiana pacers,109,115,0.432,0.506,22,32,38,39,12,15,-6.0,6.0,1,0
0022400064,2024-10-23,atlanta hawks,brooklyn nets,120,116,0.488,0.44,25,21,45,43,16,17,4.0,-4.0,1,1
0022400065,2024-10-23,miami heat,orlando magic,97,116,0.39,0.427,24,28,41,57,11,11,-19.0,19.0,1,0
0022400066,2024-10-23,milwaukee bucks,philadelphia 76ers,124,109,0.538,0.418,27,18,46,49,14,10,15.0,-15.0,0,1
0022400067,2024-10-23,cleveland cavaliers,toronto raptors,136,106,0.586,0.419,29,25,36,38,12,18,30.0,-30.0,0,1
0022400068,2024-10-23,charlotte hornets,houston rockets,110,105,0.447,0.369,20,19,56,43,16,8,5.0,-5.0,0,1
0022400069,2024-10-23,chicago bulls,new orleans pelicans,111,123,0.488,0.464,26,29,47,42,21,11,-12.0,12.0,0,0
0022400070,2024-10-23,memphis grizzlies,utah jazz,126,124,0.473,0.471,28,21,41,49,12,14,2.0,-2.0,0,1
0022400071,2024-10-23,la clippers,phoenix suns,113,116,0.457,0.487,27,25,51,42,21,22,-3.0,3.0,1,0
