Team,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,FT_x,FTA_x,FT%_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,FG%,Dist.,Unnamed: 6,2P,0-3,10-Mar,16-Oct,16-3P,3P,Unnamed: 13,2P.1,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,FT_y,FTA_y,FT%_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Age,W_x,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Overall,Home,Road,E,W_y,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr,FG_per100,FGA_per100,FG%_per100,3P_per100,3PA_per100,3P%_per100,2P_per100,2PA_per100,2P%_per100,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Milwaukee Bucks,42.0,86.4,0.486,14.2,36.6,0.387,27.9,49.7,0.56,17.3,23.1,0.75,8.2,35.1,43.4,25.5,7.3,4.7,13.4,17.9,115.5,0.486,15.1,,0.576,0.244,0.15,0.095,0.086,0.424,,0.56,0.715,0.439,0.453,0.449,0.387,,0.479,0.857,,0.064,404,,0.251,1037,,0.242,0.438,,13.0,2.0,3445,7082,0.486,1161,3003,0.387,2284,4079,0.56,1421,1895,0.75,674,2882,3556,2090,601,384,1097,1469,9472,29.3,48.0,34.0,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,,0.568,12.2,19.3,0.201,,0.533,11.4,76.2,0.174,,Fiserv Forum,"732,014","17,437",48-34,28-14,20-20,31-21,17-13,09-Aug,07-Sep,14-May,05-May,04-Jun,04-Jun,29-24,19-Oct,09-May,25-19,04-Jan,05-Sep,05-Jul,06-Sep,05-Jul,09-Jul,8-0,42.2,86.7,0.486,14.2,36.7,0.387,28.0,49.9,0.56,17.4,23.2,0.75,8.2,35.3,43.5,25.6,7.4,4.7,13.4,18.0,115.9
Detroit Pistons,42.7,89.8,0.476,12.8,35.4,0.362,29.9,54.4,0.55,17.2,22.3,0.774,11.4,33.4,44.8,26.4,8.0,5.3,14.9,20.7,115.5,0.476,13.8,,0.606,0.227,0.251,0.085,0.043,0.394,,0.55,0.693,0.485,0.449,0.366,0.362,,0.517,0.853,,0.085,558,,0.264,1041,,0.24,0.379,,20.0,0.0,3503,7363,0.476,1051,2901,0.362,2452,4462,0.55,1414,1826,0.774,931,2739,3670,2165,652,431,1219,1695,9471,25.8,44.0,38.0,46,36,1.9,-0.17,1.73,115.0,113.1,1.9,99.8,0.248,0.394,0.58,,0.547,13.0,26.2,0.192,,0.539,13.3,76.0,0.214,,Little Caesars Arena,"781,929","19,071",44-38,22-19,22-19,29-23,15-15,13-May,11-May,07-Nov,06-Apr,05-May,04-Jun,29-26,15-Dec,06-Aug,23-17,04-Jan,09-Aug,05-May,06-Oct,03-Sep,06-Sep,05-Feb,42.5,89.4,0.476,12.8,35.2,0.362,29.8,54.2,0.55,17.2,22.2,0.774,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,115.0
Minnesota Timberwolves,41.0,87.6,0.468,15.0,39.9,0.377,26.0,47.7,0.545,17.2,21.8,0.789,11.1,33.2,44.3,26.1,8.0,5.0,14.5,18.3,114.3,0.468,14.7,,0.545,0.238,0.197,0.076,0.034,0.455,,0.545,0.714,0.427,0.409,0.34,0.377,,0.553,0.782,,0.071,446,,0.253,1017,,0.243,0.398,,25.0,0.0,3364,7182,0.468,1233,3269,0.377,2131,3913,0.545,1411,1789,0.789,908,2726,3634,2142,654,406,1186,1498,9372,27.2,49.0,33.0,53,29,5.0,0.15,5.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,,0.554,13.0,25.8,0.196,,0.532,13.2,75.1,0.178,,Target Center,"772,249","18,835",49-33,25-16,24-17,16-14,33-19,04-Jun,07-Mar,03-Jul,05-Nov,07-Dec,07-Oct,31-25,18-Aug,11-Nov,Sep-31,02-Feb,08-Jul,05-Aug,06-Oct,08-May,03-Nov,01-Jun,41.8,89.3,0.468,15.3,40.7,0.377,26.5,48.7,0.545,17.6,22.3,0.789,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,116.6
Houston Rockets,42.5,93.4,0.455,12.7,35.8,0.353,29.8,57.6,0.518,16.7,22.6,0.738,14.6,33.8,48.5,23.3,8.4,5.0,13.9,19.0,114.3,0.455,14.0,,0.616,0.234,0.219,0.099,0.064,0.384,,0.518,0.674,0.447,0.401,0.371,0.353,,0.447,0.79,,0.066,439,,0.282,1144,,0.205,0.373,,16.0,0.0,3484,7659,0.455,1038,2938,0.353,2446,4721,0.518,1366,1851,0.738,1200,2774,3974,1914,689,411,1139,1557,9372,24.9,52.0,30.0,52,30,4.51,0.45,4.97,115.3,110.8,4.5,98.6,0.242,0.384,0.553,,0.523,11.8,31.7,0.178,,0.528,12.8,76.2,0.186,,Toyota Center,"716,853","17,484",52-30,29-Dec,23-18,21-Sep,31-21,04-Jun,03-Jul,02-Aug,09-Sep,09-Sep,13-Mar,34-21,18-Sep,05-Aug,26-Dec,02-Mar,04-Nov,05-Jul,04-Nov,07-May,05-Dec,03-Mar,42.9,94.2,0.455,12.8,36.2,0.353,30.1,58.1,0.518,16.8,22.8,0.738,14.8,34.1,48.9,23.6,8.5,5.1,14.0,19.2,115.3
Dallas Mavericks,42.0,87.7,0.479,12.4,34.2,0.364,29.5,53.6,0.552,17.8,23.1,0.77,10.1,33.0,43.0,25.2,7.8,5.4,14.0,17.8,114.2,0.479,13.9,,0.611,0.227,0.23,0.099,0.056,0.389,,0.552,0.726,0.458,0.443,0.418,0.364,,0.515,0.806,,0.06,372,,0.252,1076,,0.261,0.379,,15.0,0.0,3443,7194,0.479,1020,2801,0.364,2423,4393,0.552,1458,1894,0.77,828,2702,3530,2070,636,445,1151,1458,9364,27.5,39.0,43.0,38,44,-1.2,0.46,-0.74,114.8,116.0,-1.2,99.2,0.263,0.389,0.583,,0.549,12.5,23.3,0.203,,0.54,11.6,73.1,0.179,,American Airlines Center,"783,197","19,580",39-43,22-18,17-25,16-14,23-29,05-May,07-Mar,02-Aug,08-Oct,13-May,08-Aug,30-26,17-Sep,08-May,17-24,02-Mar,06-Sep,05-Aug,10-Jun,05-Jun,11-May,04-Feb,42.2,88.2,0.479,12.5,34.3,0.364,29.7,53.9,0.552,17.9,23.2,0.77,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,114.8
San Antonio Spurs,41.8,89.8,0.465,14.1,39.6,0.357,27.7,50.2,0.551,16.2,21.0,0.774,10.9,32.7,43.7,28.6,8.2,5.5,13.9,16.6,113.9,0.465,14.6,,0.559,0.256,0.171,0.083,0.05,0.441,,0.551,0.694,0.435,0.437,0.403,0.357,,0.595,0.862,,0.071,456,,0.26,1091,,0.249,0.397,,18.0,0.0,3426,7362,0.465,1158,3246,0.357,2268,4116,0.551,1332,1721,0.774,896,2685,3581,2348,674,455,1138,1363,9342,26.0,34.0,48.0,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,,0.544,12.3,24.3,0.181,,0.551,12.0,73.0,0.158,,Frost Bank Center,"731,474","17,976",34-48,20-21,14-27,18-Dec,22-30,04-Jun,08-Feb,06-Apr,08-Oct,11-Jul,11-May,23-29,19-Nov,07-Jul,17-32,03-Feb,06-Aug,07-Jul,08-Apr,09-Mar,10-Jul,05-Mar,42.0,90.2,0.465,14.2,39.8,0.357,27.8,50.4,0.551,16.3,21.1,0.774,11.0,32.9,43.9,28.8,8.3,5.6,13.9,16.7,114.4
Golden State Warriors,40.8,90.4,0.451,15.4,42.4,0.364,25.3,48.0,0.528,16.9,22.1,0.764,12.5,32.8,45.4,29.1,9.4,4.8,14.0,19.2,113.8,0.451,15.4,,0.531,0.168,0.252,0.068,0.043,0.469,,0.528,0.689,0.483,0.404,0.353,0.364,,0.616,0.874,,0.052,339,,0.294,1197,,0.238,0.389,,22.0,1.0,3342,7412,0.451,1264,3475,0.364,2078,3937,0.528,1383,1811,0.764,1029,2692,3721,2386,771,391,1152,1571,9331,28.6,48.0,34.0,49,33,3.3,0.25,3.56,115.0,111.7,3.3,98.7,0.244,0.469,0.568,,0.536,12.3,27.3,0.187,,0.541,14.1,75.6,0.189,,Chase Center,"740,624","18,064",48-34,24-17,24-17,19-Nov,29-23,04-Jun,04-Jun,03-Jul,05-Nov,11-May,13-Jul,28-27,20-Jul,06-Jun,26-15,01-Apr,06-Aug,09-Apr,08-Aug,03-Aug,04-Nov,03-May,41.2,91.4,0.451,15.6,42.8,0.364,25.6,48.5,0.528,17.0,22.3,0.764,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,115.0
Phoenix Suns,41.2,86.3,0.478,14.3,38.0,0.378,26.9,48.3,0.556,16.8,20.8,0.81,9.5,32.9,42.5,27.8,7.2,4.8,14.1,17.9,113.6,0.478,15.8,,0.56,0.143,0.199,0.156,0.061,0.44,,0.556,0.756,0.485,0.495,0.478,0.378,,0.558,0.889,,0.053,321,,0.184,759,,0.29,0.425,,7.0,0.0,3381,7075,0.478,1176,3112,0.378,2205,3963,0.556,1379,1702,0.81,783,2701,3484,2277,593,392,1153,1471,9317,29.1,36.0,46.0,34,48,-3.0,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,,0.561,12.8,22.6,0.195,,0.552,10.9,74.1,0.191,,Footprint Center,"699,911","17,071",36-46,24-17,29-Dec,14-16,22-30,06-Apr,05-May,05-May,12-Jul,07-Sep,11-Jun,26-28,18-Oct,05-Jul,13-26,01-Apr,07-Jul,09-Apr,05-Oct,10-Mar,08-Jul,06-Jan,42.2,88.2,0.478,14.7,38.8,0.378,27.5,49.4,0.556,17.2,21.2,0.81,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,116.2
Los Angeles Lakers,40.9,85.5,0.479,13.3,36.4,0.366,27.6,49.1,0.562,18.2,23.2,0.785,9.7,32.8,42.4,26.0,7.7,4.5,14.0,17.3,113.4,0.479,14.8,,0.575,0.218,0.203,0.097,0.056,0.425,,0.562,0.753,0.468,0.429,0.395,0.366,,0.555,0.801,,0.077,491,,0.247,1022,,0.239,0.394,,18.0,0.0,3356,7007,0.479,1092,2981,0.366,2264,4026,0.562,1494,1902,0.785,792,2687,3479,2131,633,367,1145,1415,9298,27.9,50.0,32.0,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,,0.557,12.7,23.3,0.213,,0.539,12.2,74.5,0.178,,Crypto.com Arena,"767,626","18,723",50-32,31-Oct,19-22,14-16,36-16,03-Jul,08-Feb,05-May,08-Nov,04-Dec,13-Apr,32-20,18-Dec,06-Apr,22-21,02-Mar,06-Aug,06-Jul,05-Sep,02-Oct,08-Sep,03-Apr,41.8,87.3,0.479,13.6,37.2,0.366,28.2,50.2,0.562,18.6,23.7,0.785,9.9,33.5,43.4,26.6,7.9,4.6,14.3,17.6,115.9
Los Angeles Clippers,41.6,86.3,0.482,12.5,33.4,0.373,29.1,52.9,0.55,17.3,21.7,0.797,10.3,33.5,43.8,25.2,9.4,4.5,14.9,18.3,112.9,0.482,13.9,,0.613,0.208,0.256,0.108,0.042,0.387,,0.55,0.707,0.486,0.456,0.408,0.373,,0.549,0.738,,0.074,476,,0.231,888,,0.23,0.403,,7.0,0.0,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,1416,1776,0.797,841,2750,3591,2064,773,370,1220,1503,9256,29.7,50.0,32.0,53,29,4.66,0.18,4.84,115.1,110.3,4.8,97.5,0.251,0.387,0.589,,0.554,13.4,24.4,0.2,,0.536,13.7,77.5,0.189,,Intuit Dome,"679,593","16,575",50-32,30-Nov,20-21,21-Sep,29-23,03-Jul,06-Apr,10-0,10-Aug,07-Sep,06-Dec,31-23,19-Sep,07-May,32-13,03-Feb,06-Oct,05-Jul,06-Sep,07-Apr,05-Nov,7-0,42.4,87.9,0.482,12.7,34.0,0.373,29.7,53.9,0.55,17.6,22.1,0.797,10.5,34.2,44.6,25.7,9.6,4.6,15.2,18.7,115.1
Utah Jazz,40.3,88.7,0.454,14.0,39.8,0.35,26.4,48.8,0.54,17.3,22.4,0.774,12.0,33.4,45.4,25.5,6.8,4.4,17.2,18.9,111.9,0.454,14.8,,0.551,0.166,0.276,0.078,0.031,0.449,,0.54,0.699,0.495,0.423,0.368,0.35,,0.532,0.824,,0.067,435,,0.262,1041,,0.274,0.402,,15.0,1.0,3305,7272,0.454,1144,3267,0.35,2161,4005,0.54,1421,1836,0.774,983,2741,3724,2093,555,360,1412,1549,9175,23.9,17.0,65.0,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100.0,0.252,0.449,0.568,,0.533,14.9,26.9,0.195,,0.559,10.3,74.1,0.185,,Delta Center,"745,175","18,175",17-65,31-Oct,7-34,21-Sep,8-44,07-Mar,08-Feb,06-Apr,13-Mar,17-Feb,14-Mar,13-41,24-Apr,08-May,8-37,0-5,10-Apr,09-Mar,12-Mar,08-May,16-Jan,05-Jan,40.0,88.1,0.454,13.9,39.6,0.35,26.2,48.5,0.54,17.2,22.2,0.774,11.9,33.2,45.1,25.4,6.7,4.4,17.1,18.8,111.2
Toronto Raptors,41.6,91.0,0.458,11.8,34.0,0.348,29.8,57.0,0.523,15.8,21.1,0.748,12.6,32.5,45.1,28.5,8.1,4.2,15.3,21.2,110.9,0.458,13.0,,0.627,0.283,0.217,0.094,0.033,0.373,,0.523,0.654,0.407,0.459,0.347,0.348,,0.599,0.904,,0.054,339,,0.313,1278,,0.283,0.381,,21.0,0.0,3414,7462,0.458,969,2786,0.348,2445,4676,0.523,1294,1729,0.748,1034,2666,3700,2340,664,348,1257,1738,9091,24.5,30.0,52.0,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,,0.522,13.3,27.3,0.173,,0.541,13.2,73.9,0.222,,Scotiabank Arena,"768,573","18,746",30-52,18-23,29-Dec,21-31,21-Sep,08-Aug,16-Feb,07-Nov,07-Mar,06-Apr,08-Feb,17-38,13-14,09-Jul,16-28,04-Jan,11-Apr,11-Feb,07-Aug,09-Mar,05-Oct,05-Feb,41.5,90.7,0.458,11.8,33.9,0.348,29.7,56.8,0.523,15.7,21.0,0.748,12.6,32.4,45.0,28.4,8.1,4.2,15.3,21.1,110.5
Portland Trail Blazers,40.5,90.2,0.45,12.9,37.7,0.342,27.7,52.5,0.527,16.9,22.2,0.762,13.4,31.4,44.8,23.8,8.3,5.3,16.0,19.0,110.9,0.45,14.1,,0.582,0.268,0.197,0.069,0.047,0.418,,0.527,0.675,0.39,0.418,0.421,0.342,,0.48,0.816,,0.064,408,,0.305,1221,,0.234,0.345,,19.0,1.0,3325,7396,0.45,1057,3095,0.342,2268,4301,0.527,1386,1820,0.762,1095,2576,3671,1952,678,433,1309,1558,9093,23.8,36.0,46.0,33,49,-2.98,0.31,-2.67,111.7,114.7,-3.0,98.8,0.246,0.418,0.555,,0.521,13.8,29.2,0.187,,0.543,13.6,72.5,0.204,,Moda Center,"719,369","17,546",36-46,22-19,14-27,17-13,19-33,06-Apr,06-Apr,01-Sep,10-Jun,12-Jun,11-Jul,23-32,13-14,04-Jul,19-30,03-Feb,09-Jun,09-Mar,08-Aug,04-Aug,10-May,03-Apr,40.8,90.9,0.45,13.0,38.0,0.342,27.9,52.8,0.527,17.0,22.4,0.762,13.5,31.6,45.1,24.0,8.3,5.3,16.1,19.1,111.7
Miami Heat,40.5,87.0,0.465,13.7,37.3,0.367,26.8,49.7,0.538,16.0,20.2,0.791,9.7,33.7,43.4,26.4,8.1,3.8,13.6,15.5,110.6,0.465,14.4,,0.571,0.211,0.229,0.098,0.033,0.429,,0.538,0.678,0.461,0.451,0.434,0.367,,0.541,0.872,,0.056,356,,0.247,982,,0.28,0.394,,15.0,0.0,3318,7138,0.465,1124,3060,0.367,2194,4078,0.538,1309,1654,0.791,798,2760,3558,2166,668,314,1114,1275,9069,26.8,37.0,45.0,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,,0.544,12.4,22.3,0.183,,0.543,12.5,75.8,0.157,,Kaseya Center,"808,337","19,716",37-45,19-22,18-23,24-28,13-17,08-Oct,14-Apr,06-Oct,07-Mar,06-Apr,04-Jun,25-28,17-Dec,11-Mar,22-18,02-Feb,06-Jul,06-Jul,09-Jul,07-May,11-Jun,04-Mar,41.5,89.3,0.465,14.1,38.3,0.367,27.5,51.0,0.538,16.4,20.7,0.791,10.0,34.5,44.5,27.1,8.4,3.9,13.9,16.0,113.5
